組,樣本N,平均超額,缺席全損多少比例才歸零,缺席全損多少比例才跌回過三閘水平
0 全部觸發(不分閘),7440,0.041646082794218366,0.03998102952828531,0.010663132835565279
1 過三閘(現行①池),1426,0.030538872245737387,0.029633886763715627,
2 只不過負債閘,2663,0.026660671763344804,0.02596833841658088,
3 只不過現金流閘,490,-0.03763611363082397,,
4 只不過市值閘,164,0.1682867481341719,0.1440457562348769,0.117905878936337
4a 只不過市值閘(1 億至 5 億),158,0.14218628337624892,0.124486071532879,0.09774886352205793
5 不過兩閘(補完),797,0.13012869358842255,0.115145022267538,0.08812254914656156
6 三閘全不過,116,0.3199641415543979,0.2424036619491846,0.21926752416761228
9 負債閘資料不足(不納入五組),1784,0.025400961342820935,0.02477173544830398,
