事件表,版本,合格事件(事件層),單注版保留,被重疊剔走,剔走比例
events.csv(正本),A(淨現金 N2),589,466,123,0.2088285229202037
events.csv(正本),"A2(N2,缺債務標籤當零負債)",3249,2487,762,0.23453370267774698
events.csv(正本),B(總債務/四季經營現金流<=3),1605,1285,320,0.19937694704049846
events_gatefix.csv,"A(淨現金 N2, gatefix)",1769,1352,417,0.23572639909553417
events_gatefix.csv,"A2(N2, gatefix, 資料不足當過閘)",2951,2277,674,0.22839715350728562
events_gatefix.csv,"B(總債務/四季經營現金流<=3, gatefix)",2885,2237,648,0.2246100519930676
