代號,公司,觸發日,十二個月超額,期內最大跌幅,觸發日市值,現金,總債務(gatefix),債務來源,滾動四季經營現金流,近60日中位成交金額,過現金流閘,過市值閘,負債閘狀態,過流動性閘,落組,軸一,軸二,觸發年,外國申報人,SIC 行業
RYTM,"RHYTHM PHARMACEUTICALS, INC.",2022-05-06,3.443592773229203,-0.182795715464348,215685179.2530256,78537000.0,,資料不足,-121980000.0,3794092.068862915,False,False,資料不足,True,9 負債閘資料不足(不納入五組),行業殺,線下逾 10%,2022,False,Pharmaceutical Preparations
VISN,"Vistance Networks, Inc.",2024-05-06,3.4367834499867644,-0.0467955287177671,196350285.3304625,543800000.0,9278600000.0,panel,289900000.0,3578656.180179119,True,False,不過,True,5 不過兩閘(補完),個別殺,線下逾 10%,2024,False,Radio & Tv Broadcasting & Communications Equipment
FLNA,"FILANA THERAPEUTICS, INC.",2020-12-14,3.404261896969949,-0.1677019067680902,198490508.33449364,24074000.0,,資料不足,-4796000.0,18399597.78966904,False,False,資料不足,True,9 負債閘資料不足(不納入五組),個別殺,線之上,2020,False,Pharmaceutical Preparations
CMPS,COMPASS Pathways plc,2025-06-23,3.3868358131764547,-0.0711462722500843,219870110.62725592,260110000.0,30541000.0,panel,-144015000.0,3418934.995865822,False,False,過,True,5 不過兩閘(補完),個別殺,線下逾 10%,2025,True,Pharmaceutical Preparations
RKLB,Rocket Lab Corp,2024-03-21,3.34472381541969,-0.1432099098295089,2000584355.6269035,162518000.0,105351000.0,panel,-98867000.0,33300419.80969906,False,True,過,True,3 只不過現金流閘,個別殺,線下逾 10%,2024,False,Guided Missiles & Space Vehicles & Parts
DDD,3D SYSTEMS CORP,2020-09-30,3.3397619190827053,-0.0430327936930861,594773342.15625,63922000.0,21528000.0,panel,7012000.0,11753804.256486893,True,True,過,True,1 過三閘(現行①池),個別殺,線下逾 10%,2020,False,Services-Prepackaged Software
RDN,RADIAN GROUP INC,2012-05-03,3.325551342451199,-0.1924217457105689,322564191.44929504,35589000.0,818584000.0,panel,-897775000.0,18074323.924970627,False,False,不過,True,6 三閘全不過,個別殺,線下逾 10%,2012,False,Surety Insurance
DOCN,"DigitalOcean Holdings, Inc.",2025-05-06,3.3086159380824496,-0.1069182838421251,2571697166.0,360421000.0,1487264000.0,panel,234942000.0,40764480.78041077,True,True,不過,True,2 只不過負債閘,個別殺,線下逾 10%,2025,False,"Services-Computer Programming, Data Processing, Etc."
COGT,"Cogent Biosciences, Inc.",2024-12-12,3.3037588551518446,-0.5435582573338729,921250836.7151222,97045000.0,,資料不足,-191284000.0,11264345.100593569,False,True,資料不足,True,9 負債閘資料不足(不納入五組),行業殺,線下 10% 內,2024,False,Pharmaceutical Preparations
ERAS,"Erasca, Inc.",2025-01-14,3.2442846579981355,-0.4739583265424394,544250004.3685126,68885000.0,,資料不足,-109641000.0,3138685.9699726105,False,True,資料不足,True,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2025,False,Pharmaceutical Preparations
INOD,INNODATA INC,2024-10-09,3.2105002299804823,-0.0445736176219304,451066378.1242018,16509000.0,0.0,companyfacts_fallback,8033000.0,7633015.780735016,True,False,過,True,4 只不過市值閘,個別殺,線之上,2024,False,Services-Computer Processing & Data Preparation
AR,ANTERO RESOURCES Corp,2020-09-01,3.1352711424167934,-0.1172414280713368,840558206.672987,0.0,3518076000.0,panel,662990000.0,37103883.82220268,True,True,不過,True,2 只不過負債閘,行業殺,線之上,2020,False,Crude Petroleum & Natural Gas
CLSK,"CLEANSPARK, INC.",2022-12-12,3.087272244191057,-0.2232142847639565,108320418.2542956,2661682.0,0.0,companyfacts_fallback,40677836.0,7287657.183814049,True,False,過,True,4 只不過市值閘,行業殺,線下逾 10%,2022,False,Finance Services
EDU,New Oriental Education & Technology Group Inc.,2022-03-10,3.061586771067589,-0.1764706508178698,19266935865.284824,1612211000.0,0.0,panel,1130085000.0,35674610.935087204,True,True,過,True,1 過三閘(現行①池),個別殺,線下逾 10%,2022,True,Services-Educational Services
CNR,"Core Natural Resources, Inc.",2021-12-06,3.059594190176033,-0.1019736171266935,724527983.6166534,50850000.0,600589000.0,panel,129331000.0,13114894.481563568,True,True,不過,True,2 只不過負債閘,個別殺,線之上,2021,False,Silver Ores
AMLX,"Amylyx Pharmaceuticals, Inc.",2025-01-16,3.0502287331636584,-0.2777777851363761,239917510.0,71839000.0,,資料不足,-95088000.0,4367587.045538425,False,False,資料不足,True,9 負債閘資料不足(不納入五組),個別殺,線之上,2025,False,Pharmaceutical Preparations
ACH,ACCENDRA HEALTH INC/VA/,2020-06-25,2.990562611148224,-0.0263157321197452,464367500.8993292,92315000.0,1559652000.0,companyfacts_fallback,320443000.0,15768956.362104416,True,False,不過,True,5 不過兩閘(補完),個別殺,線之上,2020,False,"Wholesale-Medical, Dental & Hospital Equipment & Supplies"
ARDX,"ARDELYX, INC.",2022-01-18,2.917712205580666,-0.4555555305363212,99777915.00479507,75288000.0,51476000.0,panel,-130672000.0,4188649.190247059,False,False,過,True,5 不過兩閘(補完),行業殺,線下逾 10%,2022,False,Pharmaceutical Preparations
HZO,MARINEMAX INC,2020-03-12,2.8894410619506528,-0.3108365318891635,206007325.62067413,35985000.0,334085000.0,panel,33365000.0,3732470.966053009,True,False,不過,True,5 不過兩閘(補完),個別殺,線下逾 10%,2020,False,Retail-Auto & Home Supply Stores
FCEL,FUELCELL ENERGY INC,2025-08-20,2.878737159210257,-0.0477387076155566,89568360.35145879,116061000.0,17137000.0,companyfacts_fallback,-133111000.0,8770959.935379028,False,False,過,True,5 不過兩閘(補完),個別殺,線下逾 10%,2025,False,Electrical Industrial Apparatus
SWBI,"SMITH & WESSON BRANDS, INC.",2019-08-30,2.868048930929901,-0.0574911784120356,253250434.6886549,30732000.0,,資料不足,17673000.0,5322620.566187859,True,False,資料不足,True,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2019,False,"Ordnance & Accessories, (No Vehicles/Guided Missiles)"
OPEN,Opendoor Technologies Inc.,2025-04-02,2.7952042540776905,-0.4735750984264187,730753128.6599951,671000000.0,378000000.0,companyfacts_fallback,-595000000.0,58025315.23194909,False,True,過,True,3 只不過現金流閘,個別殺,線下逾 10%,2025,False,Real Estate Agents & Managers (For Others)
EOSE,"Eos Energy Enterprises, Inc.",2024-03-12,2.7366670057561966,-0.3899999856948852,202645716.0,69473000.0,207191000.0,panel,-145018000.0,5608994.936263561,False,False,不過,True,6 三閘全不過,個別殺,線下逾 10%,2024,False,"Miscellaneous Electrical Machinery, Equipment & Supplies"
CYH,COMMUNITY HEALTH SYSTEMS INC,2020-06-18,2.7165202706631693,-0.1464968225410332,380535461.6485164,246000000.0,13525000000.0,panel,309000000.0,6329057.693839073,True,False,不過,True,5 不過兩閘(補完),個別殺,線下逾 10%,2020,False,"Services-General Medical & Surgical Hospitals, NEC"
