entity_id,ticker,trigger_date,日,日變動,close,adj_close,成交股數
0000927003,AEIS,2025-04-04,2025-04-09,0.19259085753523575,95.61000061035156,95.32537078857422,994200.0
0000927003,AEIS,2025-04-04,2025-11-05,0.15765183751872258,225.8000030517578,225.4680633544922,2805900.0
0000927003,AEIS,2025-04-04,2025-05-01,0.11189811491444357,108.30999755859375,107.98755645751953,1161400.0
0000927003,AEIS,2025-04-04,2026-03-26,-0.08679680121527311,313.1099853515625,312.90374755859375,544800.0
0000927003,AEIS,2025-04-04,2025-04-10,-0.09308657490299521,86.70999908447266,86.45185852050781,513500.0
0001308648,AG,2025-01-17,2025-06-05,0.15521969097267396,8.40999984741211,8.393524169921875,58488100.0
0001308648,AG,2025-01-17,2025-09-22,0.14312615855481092,12.140000343322754,12.116217613220215,39456900.0
0001308648,AG,2025-01-17,2025-04-09,0.13167938478487318,5.929999828338623,5.913153648376465,32756900.0
0001308648,AG,2025-01-17,2025-05-08,-0.11980816869641353,5.510000228881836,5.494348049163818,32855000.0
0001308648,AG,2025-01-17,2025-04-04,-0.13354028411948005,5.579999923706055,5.564148902893066,26985400.0
0000880266,AGCO,2020-03-17,2020-03-19,0.20016250145701808,44.369998931884766,36.78349685668945,1191300.0
0000880266,AGCO,2020-03-17,2020-04-17,0.1017365220328128,49.4900016784668,41.0280647277832,869500.0
0000880266,AGCO,2020-03-17,2020-05-26,0.10030839409343839,57.040000915527344,47.45375442504883,898200.0
0000880266,AGCO,2020-03-17,2021-01-27,-0.07445741935542238,102.80000305175781,85.86309051513672,889400.0
0000880266,AGCO,2020-03-17,2020-03-20,-0.09172893998313525,40.29999923706055,33.409385681152344,953200.0
0001018840,ANF,2017-07-24,2017-11-17,0.23904369862911712,15.550000190734863,13.965795516967773,18463700.0
0001018840,ANF,2017-07-24,2017-08-24,0.1706553668497408,11.25,9.942723274230957,20454800.0
0001018840,ANF,2017-07-24,2018-01-22,0.1260039639427306,22.43000030517578,20.37510108947754,7673600.0
0001018840,ANF,2017-07-24,2018-06-01,-0.0872116158070323,21.770000457763672,19.942520141601562,16085600.0
0001018840,ANF,2017-07-24,2017-11-01,-0.11094571419761234,11.9399995803833,10.7235746383667,5715900.0
0001144879,APLD,2025-02-25,2025-06-02,0.4846267139957223,10.140000343322754,10.140000343322754,239746500.0
0001144879,APLD,2025-02-25,2025-07-31,0.31006985973570766,13.140000343322754,13.140000343322754,138168400.0
