成因,作副成因出現宗數,作主成因宗數,窗內出現過(主或副)宗數,窗內出現率
破產(8-K 1.03),1,0,1,0.00010921799912625601
重列或不可依賴(8-K 4.02),11,8,19,0.002075141983398864
退市或不合規通知(8-K 3.01),21,15,36,0.003931847968545216
稀釋增發(S-1/S-3/424B),450,414,864,0.09436435124508519
業績(8-K 2.02),2191,3185,5376,0.5871559633027523
收購或處置(8-K 2.01),108,63,171,0.018676277850589777
高管離任(8-K 5.02),1428,1098,2526,0.2758846657929227
指引或其他重大訊息(8-K 7.01/8.01),2578,1548,4126,0.4506334643949323
重大合約或舉債(8-K 1.01/2.03),1241,302,1543,0.16852337265181302
內部人擬售(Form 144),635,866,1501,0.16393621668851027
分拆孤兒(Form 10),1,0,1,0.00010921799912625601
定期報告(10-K/10-Q),5268,262,5530,0.6039755351681957
其他申報,5769,1050,6819,0.7447575360419397
無申報,0,345,345,0.03768020969855832
