年份段,行業共跌,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
全期 2010-2026,個別殺,0 全部觸發(不分成因),3m,7013,262,11,2123,-0.1476510249678655,0.16055896192784827,0.0015685156138599743,0.04349066020248111,8.563105696593869,高,0.47668615428489947,-0.011170512021594,0.01656753944408341,-0.1547012160301332,0.1367583222700155,1.2970014449299816,0.9949652892998964,71.0,1.0015571084184742,351.0,2.578923183916359,-2.606130119698607e-05,-0.02753710150685345,2832.0,0.10124055325823471,,,,
全期 2010-2026,個別殺,0 全部觸發(不分成因),12m,6020,1255,11,1886,-0.2874069575312584,0.43803986710963455,0.027574750830564786,0.22225913621262458,11.705683397360184,高,0.42724252491694353,-0.0740951854273872,0.022657472009901116,-0.34760756901655415,0.24187107807939467,1.5019404565629968,0.9842104333400957,61.0,1.6203856438792028,301.0,4.082452009406203,-0.014200260039680482,-0.07351638960524684,2549.0,0.11794019933554817,0.40987113686237386,0.44475234776954303,0.0010166310439683253,0.04511302047343685
全期 2010-2026,個別殺,重列或不可依賴(8-K 4.02),3m,6,0,0,6,-0.2519997233417266,0.16666666666666666,0.0,0.16666666666666666,0.2719770216309547,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,個別殺,重列或不可依賴(8-K 4.02),12m,6,0,0,6,-0.375769957151232,0.6666666666666666,0.0,0.3333333333333333,0.8498386428512734,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,個別殺,退市或不合規通知(8-K 3.01),3m,11,1,1,11,-0.2013889095849452,0.36363636363636365,0.0,0.36363636363636365,2.920629159680471,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,個別殺,退市或不合規通知(8-K 3.01),12m,9,3,1,9,-0.6481481665446427,0.6666666666666666,0.2222222222222222,0.5555555555555556,3.904266355596894,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,個別殺,稀釋增發(S-1/S-3/424B),3m,309,17,0,275,-0.1675675989155176,0.18446601941747573,0.003236245954692557,0.07119741100323625,5.568859593895285,高,0.49838187702265374,-0.0021665338195367,0.057786538436302395,-0.173169871240851,0.176681609605084,1.5851028734422614,1.0355491994740302,4.0,0.5586736224995142,16.0,1.226472931828172,0.025837185626240138,-0.013801739982867092,261.0,0.11974110032362459,,,,
全期 2010-2026,個別殺,稀釋增發(S-1/S-3/424B),12m,261,65,0,230,-0.2908757096588222,0.4482758620689655,0.038314176245210725,0.2950191570881226,6.000356724088963,高,0.41762452107279696,-0.0840717106891166,0.06124126377277305,-0.4033366977772535,0.2749416164949201,1.7961858753220206,1.056797619118268,3.0,0.7892356513189533,14.0,2.0154575743046355,0.01305756199090841,-0.06571272569332462,227.0,0.1417624521072797,0.35683630755673057,0.48032259049014214,-0.02581428186289527,0.16038359186231624
全期 2010-2026,個別殺,業績(8-K 2.02),3m,2550,60,3,1240,-0.1445294674640787,0.1564705882352941,0.001176470588235294,0.040392156862745096,8.563105696593869,高,0.46941176470588236,-0.0149717163256163,0.010271002557223744,-0.1492610650813329,0.12580787138911476,1.2599389357443609,0.9758055544475951,26.0,1.7186055621793,128.0,3.9465856596390925,-0.007456829990208386,-0.03186382805753154,1449.0,0.0992156862745098,,,,
全期 2010-2026,個別殺,業績(8-K 2.02),12m,2218,392,3,1107,-0.2878177575858405,0.44634806131650134,0.02660054102795311,0.22407574391343552,11.705683397360184,高,0.4238052299368801,-0.08267227429636284,0.004937260907908973,-0.3411767295663694,0.2047264778158245,1.395475002110186,0.9259719811907726,23.0,8.070820618377109,111.0,17.723495463988503,-0.03527629086521969,-0.08691808332351146,1299.0,0.11406672678088368,0.39934977939191313,0.4491467810095602,-0.027490654360499103,0.039282523321135146
