事件表,版本,名次,entity_id,primary_ticker,name,trigger_date,trigger_year,entry_A_date,超額,mcap,shares,cash,total_debt,has_total_debt,ttm_ocf,ttm_method,split_basis_suspect,dollar_vol_60d,rel60,px_vs_sma200,industry_kill,sic2,sic_description,is_foreign_filer,panel_period_end,panel_filed,currency
events.csv(正本),A(淨現金 N2),17,0001329394,SIMO,Silicon Motion Technology CORP,2015-08-19,2015,2015-08-20,1.2395192009914415,3147788259.794281,135622076.0,194211000.0,762000.0,True,68725000.0,FY_latest,False,16800817.114639282,-0.2590730786323547,-0.1715265524735503,個別殺,36.0,Semiconductors & Related Devices,True,2014-12-31,2015-04-30,USD
events.csv(正本),A(淨現金 N2),18,0001274494,FSLR,"FIRST SOLAR, INC.",2013-04-02,2013,2013-04-03,1.2201973022139194,2288730156.368544,87156517.0,901294000.0,562572000.0,True,762209000.0,FY_latest,False,119165531.63089752,-0.2939587831497192,0.0802316505497899,個別殺,36.0,Semiconductors & Related Devices,False,2012-12-31,2013-02-27,USD
events.csv(正本),A(淨現金 N2),19,0001371285,TRUP,"TRUPANION, INC.",2019-08-29,2019,2019-08-30,1.137444900285903,851662660.2343369,34790142.0,27379000.0,19056000.0,True,17950000.0,YTD_diff,False,6166731.440925598,-0.2591033279895782,-0.182963749175536,個別殺,63.0,Hospital & Medical Service Plans,False,2019-06-30,2019-07-31,USD
events.csv(正本),A(淨現金 N2),20,0000891166,UVE,"UNIVERSAL INSURANCE HOLDINGS, INC.",2017-09-05,2017,2017-09-06,1.1197453574612617,645337059.4208393,35072667.0,160364000.0,13971000.0,True,149657000.0,YTD_diff,False,3963455.0320625305,-0.2968356907367706,-0.261329761486037,個別殺,63.0,"Fire, Marine & Casualty Insurance",False,2017-03-31,2017-05-01,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",1,0000317788,APPS,"Digital Turbine, Inc.",2020-02-10,2020,2020-02-11,11.705683397360184,560347483.4689102,86741096.0,33714000.0,,False,22186000.0,YTD_diff,False,14976599.338626862,-0.2840596735477447,0.0327407807758819,個別殺,67.0,Patent Owners & Lessors,False,2019-12-31,2020-02-10,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",2,0001293135,VET,VERMILION ENERGY INC.,2021-08-20,2021,2021-08-23,3.777265425248849,912662085.75,158723841.0,6904000.0,,False,500152000.0,FY_latest,False,14010737.915754318,-0.2659544348716736,-0.1113722160686362,行業殺,13.0,Crude Petroleum & Natural Gas,True,2020-12-31,2021-03-08,CAD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",3,0001463101,ENPH,"Enphase Energy, Inc.",2019-10-30,2019,2019-10-31,3.600580356905249,2295957167.011881,122385775.0,203046000.0,104062000.0,True,38671000.0,YTD_diff,False,136733109.31549072,-0.3847314119338989,0.0905867394430952,個別殺,36.0,Semiconductors & Related Devices,False,2019-09-30,2019-10-29,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",4,0000910638,DDD,3D SYSTEMS CORP,2020-09-30,2020,2020-10-01,3.3397619190827053,594773342.15625,121135104.0,63922000.0,21528000.0,True,7012000.0,YTD_diff,False,11753804.256486893,-0.3078320026397705,-0.3675248177175819,個別殺,73.0,Services-Prepackaged Software,False,2020-06-30,2020-08-05,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",5,0001372920,EDU,New Oriental Education & Technology Group Inc.,2022-03-10,2022,2022-03-11,3.061586771067589,19266935865.284824,1690082150.0,1612211000.0,0.0,True,1130085000.0,FY_latest,False,35674610.935087204,-0.4337650537490845,-0.6431310750098225,個別殺,82.0,Services-Educational Services,True,2021-05-31,2021-09-24,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",6,0001308648,AG,FIRST MAJESTIC SILVER CORP,2025-01-17,2025,2025-01-21,2.664097942208954,1676936859.4151115,287146715.0,125581000.0,,False,55614000.0,FY_latest,False,66892687.4114275,-0.2504680454730987,-0.0803431750933443,行業殺,10.0,Gold and Silver Ores,True,2023-12-31,2024-04-02,USD
events.csv(正本),"A2(N2,缺債務標籤當零負債)",7,0001035983,FIX,COMFORT SYSTEMS USA INC,2025-02-21,2025,2025-02-24,2.4576013817173674,12941314568.0,35553062.0,549939000.0,68335000.0,True,849057000.0,FY_latest,False,169252158.9691162,-0.2673274278640747,-0.0504530403289579,行業殺,17.0,Electrical Work,False,2024-12-31,2025-02-20,USD
