年份,分母,十倍家數,十倍率,回撤逾五成家數,回撤逾五成比率,窗完整比例
2010,23,1,0.0435,5,0.2174,1.0
2011,195,0,0.0,41,0.2103,1.0
2012,1031,30,0.0291,287,0.2784,1.0
2013,1164,29,0.0249,348,0.299,1.0
2014,1223,19,0.0155,513,0.4195,1.0
2015,1330,22,0.0165,596,0.4481,1.0
2016,1412,62,0.0439,648,0.4589,1.0
2017,1476,77,0.0522,780,0.5285,1.0
2018,1552,76,0.049,916,0.5902,1.0
2019,1732,87,0.0502,962,0.5554,1.0
2020,1856,104,0.056,1293,0.6967,1.0
2021,1981,45,0.0227,1128,0.5694,0.9995
