arm,單位,單位數,事件數,未成交單位,未成交比例,單位_中位絕對,單位_平均絕對,單位_中位超額,單位_最差,事件_中位絕對,事件_平均絕對,事件_中位超額,事件_勝率絕對,事件_勝率超額
A,候選,11,7,0,0.0,0.10362326737711469,0.4602415017866097,0.003962400106389152,-0.09796699964081701,0.3412591404913823,0.641609972893443,0.050632699473425635,0.7142857142857143,0.8571428571428571
B,候選,11,7,0,0.0,-0.001998999999999973,0.6749126971188981,-0.033658360620491434,-0.09796699964081701,0.14927647320334048,1.0343465196891743,0.003962400106389152,0.5714285714285714,0.5714285714285714
C,候選,11,7,0,0.0,0.05081213368855736,0.5675770994527539,-0.02757624169849332,-0.09796699964081701,0.24526780684736138,0.8379782462913087,0.003962400106389152,0.7142857142857143,0.5714285714285714
D,成員,104,7,10,0.09615384615384616,-0.0157106315948512,0.2244455209012664,-0.07457617171537195,-0.5213383425923717,0.15430258187338763,0.20953494289775315,0.015494919658077129,0.7142857142857143,0.5714285714285714
