event,entity_id,ticker,bars_before_shock,bars_total,span
E06,0000927066,DVA,6892,7622,1996-05-15/2026-09-01
E06,0000943819,RMD,6956,7686,1996-02-13/2026-09-01
E06,0000949870,SAM,6805,7535,1996-09-18/2026-09-01
E06,0001035267,ISRG,5860,6590,2000-06-16/2026-09-01
E06,0001093557,DXCM,4649,5379,2005-04-14/2026-09-01
E06,0001099800,EW,5917,6647,2000-03-27/2026-09-01
E06,0001103982,MDLZ,5611,6341,2001-06-13/2026-09-01
E06,0001145197,PODD,4125,4855,2007-05-15/2026-09-01
E06,0001286681,DPZ,4840,5570,2004-07-13/2026-09-01
E06,0001438133,TNDM,2486,3216,2013-11-14/2026-09-01
E06,0001613103,MDT,2322,3052,2014-07-14/2026-09-01
E06,0001637459,KHC,2076,2806,2015-07-06/2026-09-01
E07,0000067347,MOD,7548,7950,1995-01-27/2026-09-01
E07,0000723125,MU,7815,8218,1994-01-06/2026-09-01
E07,0000789019,MSFT,7788,8191,1994-02-14/2026-09-01
E07,0000820318,COHR,7474,7877,1995-05-15/2026-09-01
E07,0001013871,NRG,5320,5722,2003-12-02/2026-09-01
E07,0001045810,NVDA,6542,6945,1999-01-22/2026-09-01
E07,0001046179,TSM,6780,7183,1998-02-11/2026-09-01
E07,0001326801,META,3189,3592,2012-05-18/2026-09-01
E07,0001341439,ORCL,4846,5249,2005-10-19/2026-09-01
E07,0001375365,SMCI,4485,4888,2007-03-29/2026-09-01
E07,0001596532,ANET,2675,3077,2014-06-06/2026-09-01
E07,0001622536,TLN,412,814,2023-06-02/2026-09-01
E07,0001652044,GOOG,2341,2744,2015-10-02/2026-09-01
E07,0001674101,VRT,1628,2030,2018-08-02/2026-09-01
E07,0001692819,VST,2031,2434,2016-12-23/2026-09-01
E07,0001730168,AVGO,1751,2154,2018-02-06/2026-09-01
E07,0001835632,MRVL,1026,1429,2020-12-22/2026-09-01
E07,0001868275,CEG,756,1158,2022-01-19/2026-09-01
E07,0001996810,GEV,207,609,2024-03-27/2026-09-01
