arm,單位,單位數,事件數,未成交單位,未成交比例,單位_中位絕對,單位_平均絕對,單位_中位超額,單位_最差,事件_中位絕對,事件_平均絕對,事件_中位超額,事件_勝率絕對,事件_勝率超額
A,候選,11,7,0,0.0,0.03247431263502265,0.06012096356199657,0.027047796308233618,-0.09796699964081701,0.04665268703086345,0.10806151444515814,0.04603100118034279,0.7142857142857143,0.8571428571428571
B,候選,11,7,0,0.0,-0.001998999999999973,0.6749126971188981,-0.033658360620491434,-0.09796699964081701,0.14927647320334048,1.0343465196891743,0.003962400106389152,0.5714285714285714,0.5714285714285714
C,候選,11,7,0,0.0,0.05324022607443585,0.36751683034044724,-0.01444041180402783,-0.09796699964081701,0.0756287114754924,0.5712040170671662,0.003962400106389152,0.7142857142857143,0.5714285714285714
D,成員,104,7,10,0.09615384615384616,-0.023510813674035735,0.2030585251811206,-0.07307893330028392,-0.36516700215231046,0.15430258187338763,0.19647358426334224,0.04769586068568116,0.7142857142857143,0.5714285714285714
