arm,單位,單位數,事件數,未成交單位,未成交比例,單位_中位絕對,單位_平均絕對,單位_中位超額,單位_最差,事件_中位絕對,事件_平均絕對,事件_中位超額,事件_勝率絕對,事件_勝率超額,敏感度
A,候選,11,7,0,0.0,0.03816828422479546,0.02652733313036191,-0.041368148837526375,-0.19289448560125466,0.03816828422479546,0.002955291909407568,-0.008676204177159308,0.5714285714285714,0.42857142857142855,確認線改 50 日
B,候選,11,7,0,0.0,-0.034785553155744164,-0.021450760295869828,-0.0922675208253344,-0.3029042300092615,-0.07510292126414486,-0.05467143817199297,-0.0922675208253344,0.2857142857142857,0.0,確認線改 50 日
C,候選,11,7,0,0.0,-0.027786604364486045,0.0025382864172460414,-0.05487549167557715,-0.24789935780525807,-0.044812867650161126,-0.025858073131292705,-0.04116390302373912,0.42857142857142855,0.0,確認線改 50 日
D,成員,104,7,0,0.0,-0.03552969102731168,0.07017649169959649,-0.07379658192925093,-0.343934224441528,0.0013627003626573986,0.054562853325741366,-0.013346832752963894,0.5714285714285714,0.2857142857142857,確認線改 50 日
A,候選,11,7,0,0.0,0.10362326737711469,0.4602415017866097,0.003962400106389152,-0.09796699964081701,0.3412591404913823,0.641609972893443,0.050632699473425635,0.7142857142857143,0.8571428571428571,有效期改 90 交易日
B,候選,11,7,0,0.0,-0.001998999999999973,0.6749126971188981,-0.033658360620491434,-0.09796699964081701,0.14927647320334048,1.0343465196891743,0.003962400106389152,0.5714285714285714,0.5714285714285714,有效期改 90 交易日
C,候選,11,7,0,0.0,0.05081213368855736,0.5675770994527539,-0.02757624169849332,-0.09796699964081701,0.24526780684736138,0.8379782462913087,0.003962400106389152,0.7142857142857143,0.5714285714285714,有效期改 90 交易日
D,成員,104,7,22,0.21153846153846154,0.0,0.20603202412117516,-0.08940465403501063,-0.5213383425923717,0.18991325311084595,0.20936651205664042,0.015494919658077129,0.7142857142857143,0.5714285714285714,有效期改 90 交易日
