cadence,side,granularity,lookback,skip_weeks,label,lookback_months_equiv,n_periods,cagr_pct,excess_cagr_pp,paired_t,hit_rate_pct,ann_turnover_x,ann_cost_drag_pp,vbt_cagr_pct,vbt_excess_cagr_pp,vbt_minus_hand_pp
month,momentum,week,9,1,M:w9-1,2.14,318,8.236,-0.198,-0.152,45.28,5.85,0.585,8.232,-0.203,-0.005
month,reversal,week,10,1,R:w10-1,2.38,318,8.909,0.475,0.529,53.14,5.69,0.569,8.898,0.464,-0.011
month,momentum,week,10,1,M:w10-1,2.38,318,6.861,-1.574,-0.958,43.4,5.65,0.565,6.855,-1.579,-0.006
month,reversal,week,11,1,R:w11-1,2.62,318,9.635,1.201,0.999,54.4,5.26,0.526,9.624,1.189,-0.012
month,momentum,week,11,1,M:w11-1,2.62,318,7.252,-1.182,-0.71,46.86,5.34,0.534,7.247,-1.188,-0.006
month,reversal,week,12,1,R:w12-1,2.86,318,9.713,1.278,1.025,54.09,5.02,0.502,9.702,1.268,-0.011
month,momentum,week,12,1,M:w12-1,2.86,318,7.597,-0.837,-0.515,47.17,5.02,0.502,7.592,-0.842,-0.005
month,reversal,week,13,1,R:w13-1,3.1,318,8.499,0.065,0.336,50.94,4.76,0.476,8.489,0.054,-0.01
month,momentum,week,13,1,M:w13-1,3.1,318,7.125,-1.309,-0.77,49.06,4.97,0.497,7.121,-1.314,-0.004
month,reversal,week,5,4,R:w5-4,1.19,318,6.782,-1.652,-0.882,46.86,7.86,0.786,6.776,-1.659,-0.006
month,momentum,week,5,4,M:w5-4,1.19,318,8.765,0.33,0.283,49.37,7.85,0.785,8.757,0.323,-0.008
month,reversal,week,6,4,R:w6-4,1.43,318,7.422,-1.013,-0.459,45.91,7.74,0.774,7.415,-1.02,-0.007
month,momentum,week,6,4,M:w6-4,1.43,318,7.054,-1.38,-0.739,48.11,8.03,0.803,7.05,-1.385,-0.004
month,reversal,week,7,4,R:w7-4,1.67,318,9.48,1.046,0.865,48.11,8.05,0.805,9.471,1.036,-0.009
month,momentum,week,7,4,M:w7-4,1.67,318,5.431,-3.004,-1.754,47.48,8.16,0.816,5.427,-3.008,-0.004
month,reversal,week,8,4,R:w8-4,1.9,318,9.609,1.174,0.968,51.26,7.76,0.776,9.601,1.166,-0.008
month,momentum,week,8,4,M:w8-4,1.9,318,4.575,-3.86,-2.383,43.71,8.19,0.819,4.572,-3.863,-0.003
month,reversal,week,9,4,R:w9-4,2.14,318,9.809,1.375,1.06,48.43,7.24,0.724,9.8,1.365,-0.009
month,momentum,week,9,4,M:w9-4,2.14,318,5.805,-2.63,-1.662,45.91,7.55,0.755,5.801,-2.634,-0.004
month,reversal,week,10,4,R:w10-4,2.38,318,9.584,1.149,0.968,51.26,6.5,0.65,9.576,1.141,-0.008
month,momentum,week,10,4,M:w10-4,2.38,318,6.674,-1.761,-1.085,47.48,6.88,0.688,6.667,-1.767,-0.006
month,reversal,week,11,4,R:w11-4,2.62,318,9.129,0.695,0.719,50.94,6.35,0.635,9.122,0.687,-0.008
month,momentum,week,11,4,M:w11-4,2.62,318,5.964,-2.471,-1.4,47.17,6.38,0.638,5.96,-2.475,-0.004
month,reversal,week,12,4,R:w12-4,2.86,318,8.734,0.3,0.506,49.69,5.79,0.579,8.729,0.294,-0.005
month,momentum,week,12,4,M:w12-4,2.86,318,6.1,-2.335,-1.348,47.17,5.82,0.582,6.095,-2.34,-0.005
month,reversal,week,13,4,R:w13-4,3.1,318,10.133,1.699,1.294,52.52,5.56,0.556,10.126,1.691,-0.008
month,momentum,week,13,4,M:w13-4,3.1,318,6.335,-2.099,-1.271,47.48,5.51,0.551,6.33,-2.104,-0.005
month,reversal,month,1,0,R:m1-0,1.0,318,6.181,-2.254,-1.083,49.06,7.99,0.799,6.173,-2.261,-0.008
month,momentum,month,1,0,M:m1-0,1.0,318,7.339,-1.095,-0.626,48.43,8.14,0.814,7.338,-1.097,-0.001
month,reversal,month,2,0,R:m2-0,2.0,318,8.953,0.518,0.631,51.57,5.62,0.562,8.942,0.508,-0.01
month,momentum,month,2,0,M:m2-0,2.0,318,7.541,-0.893,-0.577,49.06,5.69,0.569,7.537,-0.898,-0.005
month,reversal,month,3,0,R:m3-0,3.0,318,8.493,0.059,0.384,53.77,4.57,0.457,8.483,0.049,-0.01
month,momentum,month,3,0,M:m3-0,3.0,318,8.286,-0.148,-0.115,52.52,4.58,0.458,8.281,-0.154,-0.006
month,reversal,month,1,1,R:m1-1,1.0,318,7.915,-0.519,-0.138,51.26,7.85,0.785,7.906,-0.529,-0.009
month,momentum,month,1,1,M:m1-1,1.0,318,9.017,0.582,0.361,49.69,7.77,0.777,9.015,0.58,-0.002
month,reversal,month,2,1,R:m2-1,2.0,318,9.856,1.422,1.057,55.03,6.04,0.604,9.846,1.411,-0.01
month,momentum,month,2,1,M:m2-1,2.0,318,7.822,-0.612,-0.407,46.23,5.87,0.587,7.817,-0.618,-0.005
month,reversal,month,3,1,R:m3-1,3.0,318,7.768,-0.666,-0.094,50.0,4.73,0.473,7.76,-0.675,-0.008
month,momentum,month,3,1,M:m3-1,3.0,318,7.729,-0.706,-0.44,48.74,4.87,0.487,7.723,-0.712,-0.006
month,reversal,month,1,4,R:m1-4,1.0,318,4.676,-3.758,-2.025,44.65,7.53,0.753,4.669,-3.765,-0.007
month,momentum,month,1,4,M:m1-4,1.0,318,8.072,-0.362,-0.066,50.31,7.5,0.75,8.069,-0.365,-0.003
month,reversal,month,2,4,R:m2-4,2.0,318,10.387,1.952,1.424,51.57,7.5,0.75,10.377,1.943,-0.01
month,momentum,month,2,4,M:m2-4,2.0,318,5.226,-3.209,-1.961,44.03,7.89,0.789,5.221,-3.213,-0.005
month,reversal,month,3,4,R:m3-4,3.0,318,8.832,0.398,0.523,51.26,5.62,0.562,8.825,0.39,-0.007
month,momentum,month,3,4,M:m3-4,3.0,318,5.873,-2.562,-1.559,48.43,5.68,0.568,5.868,-2.567,-0.005
month,calib,month,12,1,CAL:m12-1,12.0,318,9.188,0.754,0.484,50.0,2.68,0.268,9.182,0.747,-0.007
month,calib,week,8,4,CAL:w8-4,1.9,318,4.669,-3.765,-2.413,39.62,8.53,0.853,4.667,-3.767,-0.002
week,reversal,week,1,0,R:w1-0,0.24,1385,7.04,-1.352,-0.395,47.58,33.68,3.368,7.017,-1.374,-0.022
week,momentum,week,1,0,M:w1-0,0.24,1385,3.382,-5.01,-2.577,44.62,33.97,3.397,3.381,-5.01,-0.0
week,reversal,week,2,0,R:w2-0,0.48,1385,6.975,-1.416,-0.428,48.16,23.68,2.368,6.951,-1.441,-0.024
week,momentum,week,2,0,M:w2-0,0.48,1385,3.481,-4.91,-2.514,45.42,24.1,2.41,3.478,-4.913,-0.003
week,reversal,week,3,0,R:w3-0,0.71,1385,10.019,1.627,1.143,50.04,19.68,1.968,9.99,1.598,-0.029
week,momentum,week,3,0,M:w3-0,0.71,1385,4.054,-4.338,-2.345,46.28,19.73,1.973,4.046,-4.345,-0.007
week,reversal,week,4,0,R:w4-0,0.95,1385,8.522,0.13,0.383,48.81,17.08,1.708,8.494,0.103,-0.027
week,momentum,week,4,0,M:w4-0,0.95,1385,4.621,-3.771,-1.973,46.5,17.07,1.707,4.611,-3.78,-0.009
week,reversal,week,5,0,R:w5-0,1.19,1385,6.976,-1.416,-0.404,49.31,15.66,1.566,6.95,-1.441,-0.026
week,momentum,week,5,0,M:w5-0,1.19,1385,5.694,-2.697,-1.469,46.93,15.73,1.573,5.681,-2.711,-0.014
week,reversal,week,6,0,R:w6-0,1.43,1385,7.148,-1.244,-0.312,47.58,14.42,1.442,7.123,-1.268,-0.024
week,momentum,week,6,0,M:w6-0,1.43,1385,6.673,-1.718,-0.894,47.58,14.47,1.447,6.661,-1.731,-0.012
week,reversal,week,7,0,R:w7-0,1.67,1385,8.192,-0.2,0.218,49.82,13.73,1.373,8.166,-0.225,-0.026
week,momentum,week,7,0,M:w7-0,1.67,1385,5.571,-2.821,-1.461,46.86,13.29,1.329,5.555,-2.837,-0.016
week,reversal,week,8,0,R:w8-0,1.9,1385,8.053,-0.339,0.168,48.59,12.64,1.264,8.026,-0.366,-0.027
week,momentum,week,8,0,M:w8-0,1.9,1385,5.771,-2.621,-1.374,48.38,12.56,1.256,5.755,-2.636,-0.015
