_ix,high,low
MAX10x100,-0.296,1.392
MAX10x50,-0.624,0.428
MAX20x100,-0.702,1.191
MAX20x200,-0.345,-0.07
MAX20x50,-0.639,-0.115
MAX50x100,-0.969,1.053
MAX50x200,-0.139,0.176
MAX5x20,-1.381,0.299
