_ix,high,low
RSI14<=30,,-0.455
RSI14<=40,,-0.658
RSI14<=50,,-0.852
RSI14>=50,-0.648,
RSI14>=60,-0.085,
RSI14>=70,0.002,
RSI21<=30,,-0.413
RSI21<=40,,0.223
RSI21<=50,,-1.589
RSI21>=50,-1.047,
RSI21>=60,-1.087,
RSI21>=70,-0.0,
RSI60<=30,,0.004
RSI60<=40,,-0.031
RSI60<=50,,-1.394
RSI60>=50,-1.366,
RSI60>=60,-0.983,
RSI60>=70,0.011,
