_ix,high,low
MAX10x100,-1.052,1.209
MAX10x50,-1.743,-0.341
MAX20x100,-1.749,0.809
MAX20x200,-1.108,-1.412
MAX20x50,-1.694,-1.334
MAX50x100,-2.341,0.518
MAX50x200,-0.734,-1.002
MAX5x20,-3.119,-0.542
