_ix,high,low
RSI14<=30,,-0.457
RSI14<=40,,-0.656
RSI14<=50,,-0.844
RSI14>=50,-0.646,
RSI14>=60,-0.084,
RSI14>=70,0.0,
RSI21<=30,,-0.417
RSI21<=40,,0.224
RSI21<=50,,-1.58
RSI21>=50,-1.046,
RSI21>=60,-1.087,
RSI21>=70,-0.004,
RSI60<=30,,0.0
RSI60<=40,,-0.034
RSI60<=50,,-1.386
RSI60>=50,-1.364,
RSI60>=60,-0.987,
RSI60>=70,0.007,
