_ix,high,low
RSI14<=30,,-1.126
RSI14<=40,,-1.325
RSI14<=50,,-1.513
RSI14>=50,-1.315,
RSI14>=60,-0.753,
RSI14>=70,-0.668,
RSI21<=30,,-1.086
RSI21<=40,,-0.445
RSI21<=50,,-2.249
RSI21>=50,-1.715,
RSI21>=60,-1.756,
RSI21>=70,-0.673,
RSI60<=30,,-0.669
RSI60<=40,,-0.703
RSI60<=50,,-2.055
RSI60>=50,-2.033,
RSI60>=60,-1.655,
RSI60>=70,-0.662,
