_ix,high,low
RSI10,-1.165,-0.004
RSI14,-0.732,-1.8
RSI21,-1.234,-1.688
RSI30,-1.033,-1.069
RSI45,-1.124,-1.85
RSI5,-2.072,-0.337
RSI60,-1.074,-0.987
RSI7,-1.454,-0.759
