ticker,entity_id,rows,first_date,last_date,f_first,f_last,f_min,f_max
AAL,0000006201,5265,2005-09-27,2026-09-01,0.9427414906058629,1.0,0.942740925825777,1.0
AAOI,0001158114,3252,2013-09-26,2026-09-01,1.0,1.0,1.0,1.0
AAP,0001158449,6227,2001-11-29,2026-09-01,0.831171202059057,1.0,0.831170551751515,1.0
ABBV,0001551152,3436,2013-01-02,2026-09-01,0.5813142610050273,1.0,0.5813138876877832,1.0
ABNB,0001559720,1436,2020-12-10,2026-09-01,1.0,1.0,1.0,1.0
ACI,0001646972,1553,2020-06-26,2026-09-01,0.6431435229248186,1.0,0.6431432994904586,1.0
ACLS,0001113232,6574,2000-07-11,2026-09-01,1.0,1.0,1.0,1.0
ADBE,0000796343,8190,1994-02-14,2026-09-01,0.9657666524251302,1.0,0.9657662527901786,1.0
AEM,0000002809,7941,1995-02-09,2026-09-01,0.7298568626502892,1.0,0.729856387988941,1.0
AFRM,0001820953,1415,2021-01-13,2026-09-01,1.0,1.0,1.0,1.0
AGI,0001178819,5870,2003-05-02,2026-09-01,0.8750351745835753,1.0,0.8750347557887953,1.0
AJG,0000354190,8204,1994-01-25,2026-09-01,0.38744226559435474,1.0,0.3874421307421106,1.0
ALAB,0001736297,615,2024-03-20,2026-09-01,1.0,1.0,1.0,1.0
ALK,0000766421,8194,1994-02-08,2026-09-01,0.899261474609375,1.0,0.8992609125913616,1.0
AM,0001623925,2344,2017-05-04,2026-09-01,0.4534306092695756,1.0,0.45343031202043804,1.0
AMAT,0000006951,8217,1994-01-06,2026-09-01,0.7218132019042969,1.0,0.7218126236930253,1.0
AMD,0000002488,8203,1994-01-27,2026-09-01,1.0,1.0,1.0,1.0
AMGN,0000318154,8161,1994-03-28,2026-09-01,0.6674187998421276,1.0,0.6674183642446513,1.0
AMZN,0001018724,7370,1997-05-15,2026-09-01,1.0,1.0,1.0,1.0
AN,0000350698,7817,1995-08-08,2026-09-01,0.9027256940930618,1.0,0.9027256435818143,1.0
AON,0000315293,7940,1995-02-10,2026-09-01,0.6030572198918684,1.0,0.6030566921038564,1.0
