code,ym,close,volume,turnover_rate,units
US.XLB,2000-01,9.129630,7707200,0.05005000,153990009.99
US.XLB,2000-02,8.210014,2682200,0.01749000,153356203.54
US.XLB,2000-03,9.020059,2976400,0.01937000,153660299.43
US.XLB,2000-04,8.652212,4564400,0.02968000,153787061.99
US.XLB,2000-05,8.444810,6685600,0.04344000,153904235.73
US.XLB,2000-06,7.685638,2579000,0.01682000,153329369.80
US.XLB,2000-07,7.752163,1373600,0.00901000,152452830.19
US.XLB,2000-08,7.932173,1430600,0.00939000,152353567.63
US.XLB,2000-09,7.110389,6036600,0.03926000,153759551.71
US.XLB,2000-10,7.736510,2121800,0.01387000,152977649.60
US.XLB,2000-11,7.540847,2247600,0.01466000,153315143.25
US.XLB,2000-12,8.382198,3936800,0.02561000,153721202.66
US.XLB,2001-01,8.159142,3952800,0.02575000,153506796.12
US.XLB,2001-02,8.264800,3038200,0.01980000,153444444.44
US.XLB,2001-03,7.814775,3824400,0.02491000,153528703.33
US.XLB,2001-04,8.648299,3651800,0.02376000,153695286.20
US.XLB,2001-05,8.980926,4811000,0.03129000,153755193.35
US.XLB,2001-06,8.632646,2992200,0.01949000,153524884.56
US.XLB,2001-07,8.609167,2197400,0.01434000,153235704.32
US.XLB,2001-08,8.573947,1838400,0.01204000,152691029.90
US.XLB,2001-09,7.513454,1326400,0.00867000,152987312.57
US.XLB,2001-10,7.716944,3171400,0.02068000,153355899.42
US.XLB,2001-11,8.695258,2611000,0.01701000,153497942.39
US.XLB,2001-12,8.382198,14093200,0.09146000,154091406.08
US.XLB,2002-01,8.577860,9672200,0.06282000,153966889.53
US.XLB,2002-02,9.031798,61095200,0.39618000,154210712.30
US.XLB,2002-03,9.278334,23077800,0.14973000,154129432.98
US.XLB,2002-04,8.840049,25518600,0.16553000,154162991.60
US.XLB,2002-05,9.278334,15459200,0.10036000,154037465.13
US.XLB,2002-06,9.074844,12183800,0.07909000,154049816.66
US.XLB,2002-07,8.045657,14954400,0.09705000,154089644.51
US.XLB,2002-08,8.002612,10590000,0.06878000,153969177.09
US.XLB,2002-09,6.922553,9850600,0.06396000,154011882.43
US.XLB,2002-10,7.317792,13398800,0.08700000,154009195.40
US.XLB,2002-11,8.198275,3049400,0.01986000,153544813.70
US.XLB,2002-12,7.763903,6997600,0.04548000,153861037.82
US.XLB,2003-01,7.376490,9191000,0.05970000,153953098.83
US.XLB,2003-02,7.180828,5596000,0.03636000,153905390.54
US.XLB,2003-03,7.192567,12947600,0.08404000,154064731.08
US.XLB,2003-04,7.842168,16338800,0.10602000,154110545.18
