ticker,t0,multiple_old,t0_price_old,entity_id,match_note,宇宙分段,price_date,t0_close,t0_adj_close,multiple_new,drawdown_new,window_rows,has_panel_at_t0,split_factor,split_table_absent,shares_filed,shares_filed_date,shares_period_end,currency,mcap,mcap_missing_reason,n1,n1_reason,n2,n2_reason,panel_filed_date,in_index,in_v1,U1,U2,U3,U0,U5
PLUG,2017-01-31,69.04,1.06,0001093691,唯一,新增154,2017-01-31,1.059999942779541,1.059999942779541,69.03773986372353,-0.19811314176774342,1259.0,True,1.0,True,180454207.0,2016-11-08,2016-09-30,USD,191281449.09432745,none,False,sti_missing_as_zero,True,st_debt_missing_as_zero,2016-11-08,False,True,False,True,False,False,True
SHOP,2016-02-29,65.86,2.238,0001594805,唯一,新增154,2016-02-29,2.23799991607666,2.23799991607666,65.86237686500223,0.013851715143692545,1258.0,True,1.0,True,,,,,,shares_absent_at_t0,,liabilities_missing,,lt_debt_missing,2016-02-17,False,False,False,False,False,False,False
SMCI,2019-07-31,64.89,1.831,0001375365,唯一,既有574,2019-07-31,1.8309999704360962,1.8309999704360962,64.88640148816947,-0.1272528261098428,1258.0,True,10.0,False,49881914.0,2019-05-17,2017-06-30,USD,913337830.5929589,none,False,sti_missing_as_zero,True,st_debt_missing_as_zero,2019-05-17,False,False,True,True,True,False,False
AMD,2015-09-30,53.59,1.72,0000002488,唯一,既有574,2015-09-30,1.7200000286102295,1.7200000286102295,53.5930225417832,0.011627895694091173,1259.0,True,1.0,False,779177660.0,2015-07-30,2015-06-27,USD,1340185597.4924517,none,,liabilities_missing,False,none,2015-07-30,False,False,True,True,True,False,False
LEU,2018-12-31,50.64,1.69,0001065059,唯一,新增154,2018-12-31,1.690000057220459,1.690000057220459,50.644966532522126,0.005917153919925866,1258.0,True,1.0,True,9038751.0,2018-11-08,2018-09-30,USD,15275489.70720148,none,,liabilities_missing,False,none,2018-11-08,False,False,False,True,False,False,False
NIO,2019-10-31,43.34,1.45,0001736541,唯一,新增154,2019-10-31,1.4500000476837158,1.4500000476837158,43.33792971453405,0.04827581444195017,1258.0,True,1.0,True,,,,,,shares_absent_at_t0,False,none,False,none,2019-04-02,False,False,False,False,False,False,False
LVS,2009-02-27,41.51,1.4269,0001300514,唯一,既有574,2009-02-27,2.2799999713897705,1.426884412765503,41.51262058282108,-0.3771929560734576,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
MSTR,2020-03-31,40.12,11.81,0001050446,唯一,新增154,2020-03-31,11.8100004196167,11.8100004196167,40.12108126475783,-0.049703710923478917,1256.0,True,1.0,True,,,,,,shares_absent_at_t0,True,none,,lt_debt_missing,2020-02-14,False,False,False,False,False,False,False
MRNA,2019-07-31,36.98,13.1,0001682852,唯一,既有574,2019-07-31,13.100000381469727,13.100000381469727,36.982441764352764,-0.06412214718528497,1258.0,True,1.0,True,329003270.0,2019-05-09,2019-03-31,USD,4309942962.504787,none,True,none,,lt_debt_missing,2019-05-09,False,False,True,True,True,False,False
CVNA,2017-05-31,36.83,2.01,0001690820,唯一,既有574,2017-05-31,2.009999990463257,2.009999990463257,36.825869151375755,-0.10447763141460154,1259.0,False,5.0,False,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
