entity_id,approx_mcap,pit_mcap,in_v1,甲,乙,rel
0000001750,4941480616.207948,4965815048.476379,True,True,True,0.004900390375170738
0000001800,191155444821.4043,189735628422.52896,False,False,False,0.007427548821336813
0000002098,244674582.69001007,241147472.54994965,True,True,True,0.01441551509471292
0000002186,277427024.64836884,274109972.68130493,True,True,True,0.011956484669322235
0000002488,746139038710.9852,750301830140.4114,False,False,False,0.005548155771720726
0000002809,98339166187.2253,96739018593.24646,False,False,False,0.0162717222040744
0000002969,68910039976.82922,67990347650.597534,False,False,False,0.013346274745174042
0000003197,4132101685.2409363,4132101685.2409363,True,True,True,0.0
0000003453,6556632036.815401,6556632036.815399,False,False,False,2.9090371735103676e-16
0000003499,1353482972.775879,1364923252.5,True,True,True,0.008381628566417212
0000003545,298671253.4081917,296445690.76810455,True,True,True,0.007451546188964723
0000003570,60747892901.00757,60747892901.00757,False,False,False,0.0
0000004127,10143370785.667786,10143370785.667786,False,False,False,0.0
0000004281,101650488347.70094,101650488347.70094,False,False,False,0.0
0000004962,222838746112.5154,218928696408.97565,False,False,False,0.01754654328186494
0000004977,58777487186.535164,58165847750.98384,False,False,False,0.010406015378136789
0000005272,39807855519.80102,39677132227.55102,False,False,False,0.003283856679618833
0000005513,14515150695.111204,3384599208.383648,False,False,True,0.7668230058731941
0000005981,69621488.42526054,67556446.1546402,True,True,True,0.02966098998066082
0000006176,180556342.8116169,173119246.34419155,True,True,True,0.04118989314700967
0000006201,8670758919.001434,8572510739.189252,False,False,False,0.011330978145047672
0000006207,121726051.39002989,121992289.77749252,True,True,True,0.0021824197902034267
0000006281,172364777414.57596,171788143328.2048,False,False,False,0.0033454287762297308
0000006845,794247298.2982407,784439174.644249,True,True,True,0.012348954381093454
0000006951,347960728076.5519,350651035033.2844,False,False,False,0.007672320021748047
0000006955,1867546855.3289566,1873172027.6008987,True,True,True,0.003003019578050547
0000007084,41149707872.79847,40749684213.47392,False,False,False,0.009721178594052127
0000007323,9099314211.0,9099314211.0,False,False,False,0.0
0000007431,7147066530.655182,7139881927.620728,False,False,False,0.0010052520154441213
0000007536,10594945937.551636,10485498812.048569,False,False,False,0.010330125906084512
0000007623,15604158.0,15032006.085647106,True,True,True,0.0366666316986084
0000007789,5775022557.8119135,4674029060.25,False,False,True,0.19064747999513731
0000008146,224607908.50667572,224607908.50667572,True,True,True,0.0
0000008177,27332286.200830936,27740230.371784687,True,True,True,0.014705868173635691
0000008504,65421931.84033774,65421931.84033775,True,True,True,2.277701188985667e-16
0000008670,111694392589.7396,112620009432.61108,False,False,False,0.008218937713953538
0000008818,13218967588.867767,13116654291.02893,False,False,False,0.007739885671933932
0000008858,7385747204.883202,7336503542.716629,False,False,False,0.0066673906919010656
0000008947,4061460176.730194,4079491260.75,True,True,True,0.004419934464203499
0000009092,3843656089.1216736,3834090376.5351715,True,True,True,0.0024887014771105514
0000009326,5593636383.7836,5524779741.6828,False,False,False,0.01230981733106937
0000009389,16755722296.147366,16615429840.06158,False,False,False,0.008372808620613287
0000009631,115359685394.45546,112738723266.54456,False,False,False,0.022719913971236225
0000010048,13929108.771445157,14289967.037656307,True,True,True,0.02525256113329247
0000010329,163381543.29630852,161216976.04630852,True,True,True,0.013248542071085374
0000010456,13286797568.736645,13173057817.858013,False,False,False,0.008560358528096878
0000010795,51077973899.761955,50969016685.98633,False,False,False,0.002133154576363001
0000011544,25139528717.038605,25139528717.038605,False,False,False,0.0
0000012040,83843567.3044281,84103776.75,True,True,True,0.0030939091635013814
0000012239,54063331.04241085,54063331.04241085,True,True,True,0.0
0000012659,6276700522.533356,6276700522.533356,False,False,False,0.0
0000012927,165084582218.1714,162547501207.62146,False,False,False,0.015368370422363175
