ticker,t0,mcap_old,src_old,mcap_new,mcap_missing_reason,shares_filed_date,用了事後股數
PWR,2020-03-31,4616455212.76474,panel,4521806506.784615,none,2020-02-28,False
QUBT,2014-12-31,,未知,,entity_unmatched,,False
REGN,2010-08-31,1911302125.533966,sec_frames(2010),1756890047.3103523,none,2010-07-28,False
RIG,2020-10-30,412050010.26391983,panel_ffill,411790415.4074535,none,2020-07-30,False
RIOT,2020-03-31,42422333.66155571,sec_frames(2020),25851578.6971848,none,2020-03-25,False
RKLB,2021-05-28,4483061263.250473,sec_frames(2021),,shares_absent_at_t0,,False
ROKU,2017-10-31,,未知,,shares_absent_at_t0,,False
RRC,2020-03-31,542544753.2629967,panel,573253096.8066216,none,2019-10-23,False
RUN,2017-05-31,538205467.9264069,sec_frames(2017),523235276.9997139,none,2016-11-10,False
RVLV,2020-03-31,,未知,,shares_absent_at_t0,,False
SANM,2009-02-27,120243909.0,sec_frames(含事後)(2010),,shares_absent_at_t0,,True
SEDG,2016-12-30,545540798.0171528,panel_ffill,509183589.9356346,none,2016-11-09,False
SHOP,2016-02-29,,未知,,shares_absent_at_t0,,False
SIG,2020-03-31,313964264.01138306,panel,337632702.6657629,none,2020-03-26,False
SMCI,2019-07-31,946242474.7216702,panel,913337830.5929588,none,2019-05-17,False
STX,2009-01-30,880045474.3463695,sec_frames(含事後)(2010),,shares_absent_at_t0,,True
SW,2009-03-31,,未知,,entity_unmatched,,False
TECK,2009-02-27,,未知,,shares_absent_at_t0,,False
THC,2020-03-31,1488931160.5567932,panel,1501758622.6169815,none,2020-02-24,False
TPL,2020-03-31,2723547266.7127075,sec_frames(2020),,entity_unmatched,,False
TRGP,2020-03-31,1404920500.5168917,panel,1610348114.659996,none,2020-02-20,False
TSCO,2009-02-27,1827174313.4842443,sec_frames(含事後)(2010),,shares_absent_at_t0,,True
TSLA,2019-05-31,32030642883.65364,panel,32166143155.30617,none,2019-04-29,False
TTWO,2012-12-31,940209979.5455931,panel,999192378.4317513,none,2012-10-31,False
TWST,2018-10-31,392250936.0,sec_frames(2018),,shares_absent_at_t0,,False
UAA,2009-02-27,734739027.5297165,nearest(含事後),,shares_absent_at_t0,,True
UAL,2009-06-30,1054195784.3895816,sec_frames(含事後)(2011),,shares_absent_at_t0,,True
UEC,2020-10-30,171048094.64518905,sec_frames(2020),158401613.83482933,none,2020-06-09,False
UIS,2009-02-27,153535816.33268976,sec_frames(含事後)(2010),,shares_absent_at_t0,,True
ULTA,2009-02-27,342752206.05109406,sec_frames(含事後)(2011),,shares_absent_at_t0,,True
URI,2009-03-31,255164757.5731201,sec_frames(含事後)(2011),,shares_absent_at_t0,,True
VEEV,2016-02-29,3523580402.809143,panel,,shares_absent_at_t0,,False
VIAV,2009-02-27,618868740.7225066,sec_frames(含事後)(2010),,shares_absent_at_t0,,True
VKTX,2020-03-31,346942993.5542064,sec_frames(2020),339594186.383759,none,2020-02-26,False
VRT,2020-03-31,2825741556.776328,sec_frames(2020),,shares_absent_at_t0,,False
VST,2021-05-28,7179580071.852028,panel_ffill,7794829677.837879,none,2021-05-04,False
W,2016-10-31,,未知,,shares_absent_at_t0,,False
WDC,2021-08-31,19439797113.14392,panel,19512876164.443287,none,2021-08-27,False
WFRD,2021-01-29,464760993.4660721,sec_frames(2021),476118034.1547508,none,2020-11-04,False
WSM,2020-03-31,2970349078.845978,panel,3282445431.458294,none,2020-03-27,False
WULF,2020-03-31,5526328.719080925,sec_frames(2020),6482441.0634560585,none,2020-03-03,False
WYNN,2009-03-31,1475582347.98341,sec_frames(含事後)(2010),,shares_absent_at_t0,,True
XYZ,2016-06-30,2998482263.195038,panel,,shares_absent_at_t0,,False
ZBRA,2016-06-30,2570111484.9229736,panel,2617191455.4890747,none,2016-05-10,False
ZS,2018-05-31,3210288074.140831,sec_frames(2018),,shares_absent_at_t0,,False
