entity_id,approx_mcap,pit_mcap,in_v1,甲,乙,rel
0001504764,37.02999973297119,39521457729.91294,True,True,False,0.9999999990630407
0002041610,11306086811.754253,10550.000190734863,False,False,True,0.9999990668742982
0001787518,607526887.401724,88847.23822816461,True,True,True,0.9998537558747265
0001944885,60053679.273262024,15226.20222407952,True,True,True,0.9997464567965137
0001281895,409459248.9037843,219549.20442802715,True,True,True,0.9994638069477835
0001896212,9339951.560368538,8496.036220379174,True,True,True,0.9990903554300613
0001940674,30082045.25,30531.03265922144,True,True,True,0.9989850745717092
0001798562,1965258538.6540337,2602699.441744121,True,True,True,0.998675645269794
0001985062,10021620.227555275,13348.493042934686,True,True,True,0.9986680304441958
0001860805,460134745.78744125,629602.8174727242,True,True,True,0.9986316990333012
0001074871,19243784161.367416,28976176.30912614,False,False,True,0.9984942578826415
0001826681,267908100.83048344,429245.04302864894,True,True,True,0.9983977899820945
0001673481,61376133.44556522,114082.02745006792,True,True,True,0.9981412640216046
0001560293,3015052.427277088,5936.718154879287,True,True,True,0.9980309734911507
0000014272,138210081105.6045,302321772.984169,False,False,True,0.9978125924638366
0001847846,25765811.46633625,56522.211553528905,True,True,True,0.9978063096663042
0001862150,74308732.80154324,164322.63906556927,True,True,True,0.9977886496933756
0002022308,4757608.124059677,11629.708136983216,True,True,True,0.9975555556839222
0002033770,89198167.7249031,296543.87771704234,True,True,True,0.9966754487756786
0001820302,334866065.2033148,1144764.2193653025,True,True,True,0.9965814266110534
0001847064,16828915.0,60584.0913919881,True,True,True,0.9964000001549721
0001872525,31687302.188804865,115565.45511913067,True,True,True,0.9963529411740215
0001905660,26999846.897812486,112529.71118760109,True,True,True,0.9958322092857231
0001743905,10281352.46543789,48228.091738671064,True,True,True,0.9953091685261451
0001863990,11226748.656555176,52935.55246013403,True,True,True,0.9952848723989892
0001856031,67896817.37118244,354097.6481952332,True,True,True,0.9947847680951017
0001831868,13176454.63202691,73153.55945739336,True,True,True,0.9944481606395407
0001833214,336649565.9385681,2138179.574786663,True,True,True,0.993648648947978
0001482541,116776692.35181808,742749.2680262774,True,True,True,0.9936395760740631
0001885408,458830.42076003546,3159.160204109736,True,True,True,0.9931147542508696
