ticker,month_end,diluted_shares,diluted_shares_v2,mcap_v1,mcap_v2,split_factor
CPWR,2011-09-30,22302293.0,22302293.0,111515.84989843132,111515.84989843132,0.00867036
CPWR,2011-10-31,22302293.0,22302293.0,66905.64256087608,66905.64256087608,0.00867036
CPWR,2011-11-30,23031863.0,23031863.000000004,46069.53122713288,46069.53122713288,0.00867036
CPWR,2011-12-31,23031863.0,23031863.0,69094.31211351528,69094.31211351528,0.00867036
EP,2012-03-31,84163193.0,84163193.0,2861548.5619999995,2861548.5619999995,0.020833333333333332
EP,2012-04-30,84163193.0,84163193.0,1935753.439,1935753.439,0.020833333333333332
PARA,2025-07-31,23963166.0,23963166.0,6925354.974,6925354.974,0.005000000000000001
