cagr_0,cagr_15,cagr_25,cagr_50,mdd_15,turnover_yr,days,panel,arm,period,note
0.1447941950109235,0.1447941950109235,0.1447941950109235,0.1447941950109235,-0.3371725284698909,0.0,4152,v1,基準:SPY含息,全期,無成本
0.11671856637052214,0.11671856637052214,0.11671856637052214,0.11671856637052214,-0.18605450429777937,0.0,716,v1,基準:SPY含息,甲期(至2012),無成本
0.15073293193038695,0.15073293193038695,0.15073293193038695,0.15073293193038695,-0.33717252846989076,0.0,3436,v1,基準:SPY含息,乙期(2013起),無成本
0.20501931333621104,0.20501931333621104,0.20501931333621104,0.20501931333621104,-0.33559076562160894,0.0,4152,v1,基準:XLK含息,全期,無成本
0.1238078844007946,0.1238078844007946,0.1238078844007946,0.1238078844007946,-0.1609986203426177,0.0,716,v1,基準:XLK含息,甲期(至2012),無成本
0.22266753325732358,0.22266753325732358,0.22266753325732358,0.22266753325732358,-0.3355907656216084,0.0,3436,v1,基準:XLK含息,乙期(2013起),無成本
0.1378862412231716,0.13667508884507606,0.1358678635555035,0.13385052972591338,-0.3975276646334337,0.7097780268714101,4152,v1,基準:同池等權,全期,投資紀律剔除前的整個合資格池
0.13022949784549076,0.12827060210937313,0.12696572857294797,0.1237072408798181,-0.21427902250170938,1.1543684259898823,716,v1,基準:同池等權,甲期(至2012),投資紀律剔除前的整個合資格池
0.13948828649064038,0.13843429793082684,0.1377317418612798,0.13597570715437612,-0.3975276646334339,0.6171334617466062,3436,v1,基準:同池等權,乙期(2013起),投資紀律剔除前的整個合資格池
0.10941058077105481,0.10423231006920108,0.10078993822639082,0.09221825322141863,-0.4558813336518305,3.1179821536170227,4152,v1,A3 單獨行內價值,全期,
0.11358914532326958,0.10778652326399318,0.10393077852006738,0.09433562970329135,-0.2558839105475954,3.467036132432243,716,v1,A3 單獨行內價值,甲期(至2012),
0.10854181983516287,0.10349311350753831,0.10013657007598864,0.09177754647714997,-0.45588133365183114,3.045245643479742,3436,v1,A3 單獨行內價值,乙期(2013起),
0.1447941950109235,0.1447941950109235,0.1447941950109235,0.1447941950109235,-0.3371725284698909,0.0,4152,v2,基準:SPY含息,全期,無成本
0.11671856637052214,0.11671856637052214,0.11671856637052214,0.11671856637052214,-0.18605450429777937,0.0,716,v2,基準:SPY含息,甲期(至2012),無成本
0.15073293193038695,0.15073293193038695,0.15073293193038695,0.15073293193038695,-0.33717252846989076,0.0,3436,v2,基準:SPY含息,乙期(2013起),無成本
0.20501931333621104,0.20501931333621104,0.20501931333621104,0.20501931333621104,-0.33559076562160894,0.0,4152,v2,基準:XLK含息,全期,無成本
0.1238078844007946,0.1238078844007946,0.1238078844007946,0.1238078844007946,-0.1609986203426177,0.0,716,v2,基準:XLK含息,甲期(至2012),無成本
0.22266753325732358,0.22266753325732358,0.22266753325732358,0.22266753325732358,-0.3355907656216084,0.0,3436,v2,基準:XLK含息,乙期(2013起),無成本
0.13828003511701947,0.13706923158281814,0.13626223830781403,0.13424548259794222,-0.3970179591065134,0.7093205324466154,4152,v2,基準:同池等權,全期,投資紀律剔除前的整個合資格池
0.1301237025308546,0.12816191018195,0.12685511072090283,0.12359182622212805,-0.21397052095266833,1.156150131538046,716,v2,基準:同池等權,甲期(至2012),投資紀律剔除前的整個合資格池
0.13998706399509886,0.13893419157175835,0.13823237851139547,0.13647819754149415,-0.3970179591065135,0.6162093587127782,3436,v2,基準:同池等權,乙期(2013起),投資紀律剔除前的整個合資格池
0.10483224075196151,0.0999012706507254,0.09662286546602794,0.08845795689286784,-0.4690238605370033,2.9823869692214298,4152,v2,A3 單獨行內價值,全期,
0.09067449181989096,0.08577942017104245,0.08252517673194815,0.07442146890513546,-0.2626122669639045,2.9897345732067784,716,v2,A3 單獨行內價值,甲期(至2012),
0.10780551779897207,0.1028670536011893,0.09958360369599384,0.09140591441846846,-0.46902386053700396,2.9808558619881618,3436,v2,A3 單獨行內價值,乙期(2013起),
