family,kind,base,direction,axis,label,excess_ew9_pp,neighbourhood_mean_pp,t_ew9
C,trd,abs,低,6,C-trd6-abs-低,-1.53,-0.533,-0.709
C,trd,abs,低,9,C-trd9-abs-低,0.329,-1.402,0.276
C,trd,abs,低,12,C-trd12-abs-低,-3.005,-0.55,-1.703
C,trd,abs,低,18,C-trd18-abs-低,1.027,-0.478,0.626
C,trd,abs,低,24,C-trd24-abs-低,0.543,0.785,0.409
C,trd,abs,高,1,C-trd1-abs-高,-0.734,-1.308,-0.336
C,trd,abs,高,3,C-trd3-abs-高,-1.882,-1.927,-1.088
C,trd,abs,高,6,C-trd6-abs-高,-3.165,-2.261,-1.78
C,trd,abs,高,9,C-trd9-abs-高,-1.736,-1.82,-0.98
C,trd,abs,高,12,C-trd12-abs-高,-0.559,-1.364,-0.228
C,trd,abs,高,18,C-trd18-abs-高,-1.796,-1.235,-0.972
C,trd,abs,高,24,C-trd24-abs-高,-1.35,-1.573,-0.644
C,trd,rel,低,1,C-trd1-rel-低,-1.759,-1.079,-0.891
C,trd,rel,低,3,C-trd3-rel-低,-0.399,-1.229,-0.111
C,trd,rel,低,6,C-trd6-rel-低,-1.53,-0.533,-0.709
C,trd,rel,低,9,C-trd9-rel-低,0.329,-1.402,0.276
C,trd,rel,低,12,C-trd12-rel-低,-3.005,-0.55,-1.703
C,trd,rel,低,18,C-trd18-rel-低,1.027,-0.478,0.626
C,trd,rel,低,24,C-trd24-rel-低,0.543,0.785,0.409
C,trd,rel,高,1,C-trd1-rel-高,-0.734,-1.308,-0.336
C,trd,rel,高,3,C-trd3-rel-高,-1.882,-1.927,-1.088
C,trd,rel,高,6,C-trd6-rel-高,-3.165,-2.261,-1.78
C,trd,rel,高,9,C-trd9-rel-高,-1.736,-1.82,-0.98
C,trd,rel,高,12,C-trd12-rel-高,-0.559,-1.364,-0.228
C,trd,rel,高,18,C-trd18-rel-高,-1.796,-1.235,-0.972
C,trd,rel,高,24,C-trd24-rel-高,-1.35,-1.573,-0.644
