month_end,series,n_members,total_mcap,pe_fwd,n_fwd,pe_now,n_now,pe_lag,n_lag
1998-12-31,MKT,217,5304570588659.534,22.84098298940916,217,26.679791384447046,216,28.793192754317538,215
1999-01-31,MKT,217,5586564302503.419,23.82633938508076,217,27.63776873695346,216,30.08118120431075,215
1999-02-28,MKT,217,5441170131630.118,22.845431349091484,217,25.51774071807883,216,27.692362813922472,215
1999-03-31,MKT,217,5683267232624.452,24.020148082433188,217,29.379787781657544,217,28.401685840789355,216
1999-04-30,MKT,217,5857457582302.689,23.87490710894361,217,30.026153607292358,217,28.70147604880662,216
1999-05-31,MKT,219,5729030104894.27,23.159438642838985,219,29.13694640274264,219,29.413520071415803,219
1999-06-30,MKT,222,6054802024545.55,24.40894603748691,222,29.606381965508596,222,30.935745805565706,222
1999-07-31,MKT,224,5876340891239.833,22.74043538545532,224,28.56036746202765,224,29.911616482011418,224
1999-08-31,MKT,224,5987482391546.691,23.02126752659743,224,29.00528922256479,224,29.179784144813073,224
1999-09-30,MKT,224,5768643477137.027,22.002309397300248,224,26.26127383793366,224,27.986498150427753,224
1999-10-31,MKT,227,6061449282241.717,22.456802806914684,227,27.465442297197036,227,29.379730921677403,227
1999-11-30,MKT,229,6077976596234.646,22.752221324887756,229,27.636378406080865,229,27.873695150261398,229
1999-12-31,MKT,230,7021991828540.77,25.438908724309538,230,29.4464570474584,230,31.23650318314972,230
2000-01-31,MKT,230,6586438622325.41,23.98966778184652,230,27.378353119282625,230,29.08274243502672,230
2000-02-29,MKT,230,6473983124655.881,23.444651154083967,230,26.43097603338306,230,26.705148766351964,230
2000-03-31,MKT,229,7291998692816.961,26.3020113290729,229,28.6771702288822,229,29.7621466483727,229
2000-04-30,MKT,229,6898676264251.33,25.85210620533702,229,27.503515620509294,229,28.621867140749284,229
2000-05-31,MKT,229,6797366144157.1,25.726778719323754,229,26.830730229250072,229,27.25117156523507,229
2000-06-30,MKT,232,7162760366684.341,28.738362299922997,232,26.7570389645601,232,28.158438399592306,232
2000-07-31,MKT,233,7261533461905.577,30.704714315875734,233,26.752823871676522,233,27.99614123088579,233
2000-08-31,MKT,234,7661652226780.191,32.54975094004836,234,28.023023239160775,234,28.37463374059439,234
2000-09-30,MKT,234,7162922195637.797,33.275915861613676,234,25.467507501837254,234,26.319480655554205,234
2000-10-31,MKT,235,7204503948914.58,33.91262820183204,235,25.49181190513197,235,26.258755811821285,235
2000-11-30,MKT,237,6811639222156.311,32.81021800309639,237,24.25123262779092,237,24.357589354478,237
2000-12-31,MKT,240,7044094195031.911,35.25259541648829,240,24.629343545040054,240,24.363609729658325,240
2001-01-31,MKT,241,7105959711084.09,35.697619419422686,241,24.840366136932147,241,24.559258359024188,241
2001-02-28,MKT,241,6565187280262.254,32.927072681611506,241,22.974636667312225,241,22.69027794814886,241
2001-03-31,MKT,242,6220719087434.379,32.58222228102449,242,21.850598318426773,242,21.509781169691376,242
2001-04-30,MKT,242,6674070047007.777,34.18962559354082,242,23.937637810181634,242,23.175093115276404,242
