event_id,event,ticker,entity_id,resolve_status,named_confidence
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,BK,,代號不在宇宙(多為已除牌/被收購),A
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,ICE,,代號在宇宙但衝擊日不在有效時段,A
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,BLK,,代號在宇宙但衝擊日不在有效時段,A
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,STI,,代號在宇宙但衝擊日不在有效時段,B
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,CMA,,代號不在宇宙(多為已除牌/被收購),B
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,LM,,代號不在宇宙(多為已除牌/被收購),B
E19,2021-11 Omicron 殺旅遊休閒,SAVE,,代號不在宇宙(多為已除牌/被收購),B
E20,2022-05 通脹與庫存過剩殺零售,JWN,,代號不在宇宙(多為已除牌/被收購),A
E20,2022-05 通脹與庫存過剩殺零售,GPS,,代號不在宇宙(多為已除牌/被收購),B
E20,2022-05 通脹與庫存過剩殺零售,BIG,,代號不在宇宙(多為已除牌/被收購),B
E20,2022-05 通脹與庫存過剩殺零售,CONN,,代號不在宇宙(多為已除牌/被收購),B
