event_id,event,籃子,口徑,窗口,n,成熟數,中位,平均,前20均,後20均,前後20差距,贏家比例,最好,最差,標準差
E19,2021-11 Omicron 殺旅遊休閒,新聞點名,衝擊結束日(新聞),6m,28,28,-0.077,-0.1451,0.0611,-0.4106,0.4716,0.2143,0.1122,-0.5281,0.1802
E19,2021-11 Omicron 殺旅遊休閒,新聞點名,衝擊結束日(新聞),12m,28,28,-0.0094,-0.0571,0.2762,-0.4611,0.7374,0.4643,0.4943,-0.6978,0.2747
E19,2021-11 Omicron 殺旅遊休閒,同SIC全體,衝擊低點,3m,171,171,0.0775,0.107,0.5143,-0.2242,0.7385,0.6959,1.4968,-0.5421,0.2799
E19,2021-11 Omicron 殺旅遊休閒,同SIC全體,衝擊低點,6m,171,171,0.0322,0.1078,0.8633,-0.407,1.2703,0.5322,2.679,-0.8225,0.4849
E19,2021-11 Omicron 殺旅遊休閒,同SIC全體,衝擊低點,12m,171,171,0.0653,0.2489,1.5363,-0.518,2.0542,0.5848,4.5378,-0.9518,0.8696
E19,2021-11 Omicron 殺旅遊休閒,同SIC全體,衝擊結束日(新聞),3m,171,171,0.0509,0.098,0.537,-0.2289,0.7659,0.614,1.5516,-0.5484,0.2911
E19,2021-11 Omicron 殺旅遊休閒,同SIC全體,衝擊結束日(新聞),6m,171,171,-0.0218,0.0565,0.7362,-0.4178,1.154,0.4678,2.1852,-0.8202,0.4337
E19,2021-11 Omicron 殺旅遊休閒,同SIC全體,衝擊結束日(新聞),12m,171,171,0.0266,0.2299,1.5195,-0.53,2.0494,0.538,4.3658,-0.9599,0.86
E20,2022-05 通脹與庫存過剩殺零售,新聞點名,衝擊低點,3m,22,22,0.006,0.0074,0.236,-0.2097,0.4457,0.5909,0.3582,-0.2832,0.1527
E20,2022-05 通脹與庫存過剩殺零售,新聞點名,衝擊低點,6m,22,22,0.1043,0.1075,0.3284,-0.1583,0.4867,0.7273,0.4066,-0.213,0.1801
E20,2022-05 通脹與庫存過剩殺零售,新聞點名,衝擊低點,12m,22,22,-0.0109,-0.0014,0.2957,-0.307,0.6027,0.4545,0.4029,-0.5073,0.2124
E20,2022-05 通脹與庫存過剩殺零售,新聞點名,衝擊結束日(新聞),3m,22,22,-0.0062,-0.0424,0.1015,-0.2264,0.3279,0.4545,0.1475,-0.3385,0.1252
E20,2022-05 通脹與庫存過剩殺零售,新聞點名,衝擊結束日(新聞),6m,22,22,0.0008,0.0277,0.3439,-0.2937,0.6375,0.5,0.5064,-0.389,0.2246
E20,2022-05 通脹與庫存過剩殺零售,新聞點名,衝擊結束日(新聞),12m,22,22,-0.0745,-0.0547,0.351,-0.416,0.767,0.3636,0.6283,-0.5294,0.2665
E20,2022-05 通脹與庫存過剩殺零售,同SIC全體,衝擊低點,3m,122,122,0.006,0.0038,0.3121,-0.296,0.6081,0.5164,0.8,-0.5275,0.2198
E20,2022-05 通脹與庫存過剩殺零售,同SIC全體,衝擊低點,6m,122,122,0.0141,-0.0135,0.428,-0.4878,0.9158,0.5164,1.0273,-0.9243,0.3269
E20,2022-05 通脹與庫存過剩殺零售,同SIC全體,衝擊低點,12m,122,122,-0.1478,-0.1438,0.4633,-0.6551,1.1184,0.3361,1.7031,-0.9605,0.4156
E20,2022-05 通脹與庫存過剩殺零售,同SIC全體,衝擊結束日(新聞),3m,122,122,-0.0624,-0.0503,0.24,-0.3132,0.5532,0.3934,0.557,-0.4374,0.2019
E20,2022-05 通脹與庫存過剩殺零售,同SIC全體,衝擊結束日(新聞),6m,122,122,-0.0369,-0.0538,0.3752,-0.5103,0.8855,0.459,0.6027,-0.9564,0.3161
E20,2022-05 通脹與庫存過剩殺零售,同SIC全體,衝擊結束日(新聞),12m,122,122,-0.1544,-0.1695,0.3765,-0.6668,1.0433,0.2951,1.1179,-0.9694,0.383
