event_id,event,basket_kind,entity_id,ticker,name,sic,sic_description,named_confidence,f_shock_rel_drop,anchor_T_date,T_3m_excess,T_3m_status,T_6m_excess,T_6m_status,T_12m_excess,T_12m_status,anchor_N_date,N_3m_excess,N_3m_status,N_6m_excess,N_6m_status,N_12m_excess,N_12m_status,dollar_vol_60d,feat_status,panel_period_end,panel_filed,panel_age_days,currency,cash,total_debt,assets,equity,mcap_usd,ttm_revenue,ttm_ocf,ttm_net_income,ttm_method_rev,f_net_cash_n2,f_net_cash_over_mcap,f_debt_to_assets,f_liab_to_assets,f_ocf_positive,f_ocf_margin,f_ni_margin,f_ps,f_pb,f_pe,f_log_mcap,f_rev_growth_yoy,f_rev_cv8
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000080661,PGR,PROGRESSIVE CORP/OH/,6331,"Fire, Marine & Casualty Insurance",,0.01614405742160918,2011-10-03,-0.0557155670868712,已成熟,0.0506860328819172,已成熟,-0.06844893738413593,已成熟,2011-10-04,-0.04990350116872966,已成熟,0.05122040774265035,已成熟,-0.06904326035845176,已成熟,76577448.53210449,有,2011-03-31,2011-05-09,127.0,USD,,1958700000.0,21526100000.0,6320600000.0,7551002699.420717,15190900000.0,1682800000.0,1135600000.0,YTD_diff,,,0.09099186568862916,0.7063750516814472,1.0,0.11077684666477958,0.07475528112225083,0.49707408378836787,1.1946654905263294,6.649350739186965,22.744946199259452,0.029103127773299153,0.7921049596979073
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000082473,IHT,INNSUITES HOSPITALITY TRUST,6798,Real Estate Investment Trusts,,0.14301573531472878,2011-10-03,-0.05333342597440904,已成熟,-0.10436556828933818,已成熟,-0.21995130440353605,已成熟,2011-10-04,-0.07339616830053042,已成熟,-0.09614346275274543,已成熟,-0.22250464865315212,已成熟,257.00000524520874,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000084246,RLI,RLI CORP,6331,"Fire, Marine & Casualty Insurance",,0.12245333740361741,2011-10-03,0.047794051330315224,已成熟,-0.052193252089874353,已成熟,-0.12320208494092455,已成熟,2011-10-04,0.06031794465690532,已成熟,-0.05457326260487483,已成熟,-0.1185901918151312,已成熟,4847976.493835449,有,2011-06-30,2011-08-05,36.0,USD,0.0,100000000.0,2730264000.0,864421000.0,152076269.6412878,585319000.0,,136801000.0,4Q,-100000000.0,-0.6575647879572304,0.03662649472724982,0.6833928880137599,,,0.23372041570494037,0.25981775688349057,0.17592847656557142,1.111660511555382,18.839892726919935,0.021679213962670474,0.04436194050894662
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000085535,RGLD,ROYAL GOLD INC,6795,Mineral Royalty Traders,,0.042479136963306185,2011-10-03,-0.02033111034431545,已成熟,-0.18004692943876122,已成熟,0.21488579973069522,已成熟,2011-10-04,-0.045128329227255404,已成熟,-0.21841610745569473,已成熟,0.20153774179443218,已成熟,33516227.410888672,有,2011-03-31,2011-05-06,127.0,USD,125771000.0,,1912727000.0,1442623000.0,3014459217.1998215,,,43954000.0,,,,,0.23138430105289465,,,,,2.0895682497782313,68.58213626063205,21.826686286925064,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000086312,TRV,"TRAVELERS COMPANIES, INC.",6331,"Fire, Marine & Casualty Insurance",,-0.02432292298645322,2011-10-03,0.07614337100650004,已成熟,-0.00673588657834201,已成熟,0.12050321346037007,已成熟,2011-10-04,0.0707675316991021,已成熟,-0.02389899170239984,已成熟,0.10336702900107397,已成熟,197886539.0733719,有,2011-06-30,2011-07-21,36.0,USD,,,106468000000.0,25008000000.0,15660159622.09056,25480000000.0,2904000000.0,2374000000.0,4Q,,,,0.7651125220723598,1.0,0.11397174254317112,0.09317111459968602,0.6146059506314977,0.626205998963954,6.596528905682629,23.474385720438637,0.015908456600614018,0.019978505770275753
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000090498,SFNC,SIMMONS FIRST NATIONAL CORP,6021,National Commercial Banks,,-0.04138667177253674,2011-10-03,0.08184704740688065,已成熟,-0.1180654508533836,已成熟,-0.1719233069081414,已成熟,2011-10-04,0.09822176706238994,已成熟,-0.11214502660916015,已成熟,-0.15165258333110843,已成熟,669988.0029678345,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000091576,KEY,KEYCORP /NEW/,6021,National Commercial Banks,,-0.13855390402540246,2011-10-03,0.1430235108190614,已成熟,0.10573791770241181,已成熟,0.12879540698649738,已成熟,2011-10-04,0.17176740114895872,已成熟,0.10878412610736854,已成熟,0.14520892329439095,已成熟,95997408.7015152,有,2011-03-31,2011-05-05,127.0,USD,,11733000000.0,90438000000.0,9425000000.0,4058878232.418289,,2293000000.0,872000000.0,,,,0.12973528826378292,0.892777372343484,1.0,,,,0.430650210336158,4.654676872039323,22.124172474948963,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000092230,TFC,TRUIST FINANCIAL CORP,6021,National Commercial Banks,,-0.04056286646762375,2011-10-03,0.09246767795916422,已成熟,0.20958363707468997,已成熟,0.23539966780300414,已成熟,2011-10-04,0.12151153148281879,已成熟,0.231018308221274,已成熟,0.2659654963211815,已成熟,144865228.7133217,有,2011-03-31,2011-05-06,127.0,USD,2200000000.0,27777000000.0,157039000000.0,16670000000.0,9355954728.78894,,4292000000.0,894000000.0,,-25577000000.0,-2.733766968890705,0.17687962862728368,0.8938480250128948,1.0,,,,0.5612450347203923,10.465273745848927,22.959278846920952,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000093751,STT,STATE STREET CORP,6022,State Commercial Banks,,-0.1430124101673269,2011-10-03,0.13117118831225283,已成熟,0.11637412647326584,已成熟,0.012838735153447134,已成熟,2011-10-04,0.14718351479211855,已成熟,0.12224273023677701,已成熟,0.01975692435157206,已成熟,155721894.38877106,有,2011-06-30,2011-08-05,36.0,USD,,18186000000.0,190455000000.0,19834000000.0,13344856425.542542,9466000000.0,-6934000000.0,1962000000.0,4Q,,,0.09548712294242734,0.8958599144154787,0.0,-0.7325163743925629,0.20726811747306148,1.4097672116567233,0.6728272877655814,6.801659747982947,23.314396861074552,0.056709086849743295,0.7582140457983823
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000094344,STC,STEWART INFORMATION SERVICES CORP,6361,Title Insurance,,-0.10436060125709168,2011-10-03,0.16564070157221678,已成熟,0.2966307213651762,已成熟,0.7740456918469911,已成熟,2011-10-04,0.20823558437829814,已成熟,0.32405540346577344,已成熟,0.7992482757776105,已成熟,784705.0057411194,有,2011-06-30,2011-08-03,36.0,USD,122685000.0,,1128858000.0,443179000.0,,,,,,,,,0.5959084313527476,,,,,,,,,
