event_id,ticker,期間,期末,期間長度日,收入,收入科目,毛利,營業利潤,淨利,單季經營現金流
E01,T,衝擊前,2012-06-30,,31575000000,Revenues,,6817000000.0,3902000000,17325000000
E01,T,衝擊前,2012-09-30,,31459000000,Revenues,,6037000000.0,3635000000,28656000000
E01,T,衝擊前,2012-12-31,,32578000000,Revenues,,-5958000000.0,-3857000000,39176000000
E01,T,衝擊前,2013-03-31,,31356000000,Revenues,,5940000000.0,3700000000,8199000000
E01,T,衝擊後,2013-06-30,,32075000000,Revenues,,6113000000.0,3822000000,17711000000
E01,T,衝擊後,2013-09-30,,32158000000,Revenues,,6188000000.0,3814000000,26879000000
E01,T,衝擊後,2013-12-31,,33163000000,Revenues,,12238000000.0,6913000000,34796000000
E01,T,衝擊後,2014-03-31,,32476000000,Revenues,,6335000000.0,3688000000,8799000000
E01,SPG,衝擊前,2012-06-30,,1188066000,Revenues,,524327000.0,260936000,1199190000
E01,SPG,衝擊前,2012-09-30,,1228617000,Revenues,,564953000.0,306371000,1827145000
E01,SPG,衝擊前,2012-12-31,,1344431000,Revenues,,614598000.0,370496000,2513072000
E01,SPG,衝擊前,2013-03-31,,1060823000,Revenues,,502484000.0,334468000,550513000
E01,SPG,衝擊後,2013-06-30,,1084993000,Revenues,,509939000.0,400525000,1232949000
E01,SPG,衝擊後,2013-09-30,,1146877000,Revenues,,548478000.0,367293000,1928893000
E01,SPG,衝擊後,2013-12-31,,1251155000,Revenues,,627769000.0,449304000,2700996000
E01,SPG,衝擊後,2014-03-31,,1157022000,Revenues,,560965000.0,401103000,661451000
E01,ED,衝擊前,2012-03-31,,3078000000,Revenues,,561000000.0,280000000,402000000
E01,ED,衝擊前,2012-06-30,,2771000000,Revenues,,475000000.0,214000000,1247000000
E01,ED,衝擊前,2012-09-30,,3438000000,Revenues,,851000000.0,440000000,1638000000
E01,ED,衝擊前,2013-03-31,,3184000000,Revenues,,526000000.0,192000000,-84000000
E01,ED,衝擊後,2013-06-30,,2818000000,Revenues,,386000000.0,172000000,865000000
E01,ED,衝擊後,2013-09-30,,3484000000,Revenues,,855000000.0,464000000,1238000000
E01,ED,衝擊後,2014-03-31,,3789000000,Revenues,,685000000.0,361000000,224000000
E01,ED,衝擊後,2014-06-30,,2911000000,Revenues,,455000000.0,212000000,1257000000
E06,RMD,衝擊前,2022-09-30,,950294000,RevenueFromContractWithCustomerExcludingAssessedTax,540810000.0,275739000.0,210478000,44662000
E06,RMD,衝擊前,2022-12-31,,1033744000,RevenueFromContractWithCustomerExcludingAssessedTax,579715000.0,280194000.0,224914000,173298000
E06,RMD,衝擊前,2023-03-31,,1116898000,RevenueFromContractWithCustomerExcludingAssessedTax,617752000.0,300671000.0,232500000,455863000
E06,RMD,衝擊前,2023-09-30,,1102321000,RevenueFromContractWithCustomerExcludingAssessedTax,600060000.0,288997000.0,219422000,286283000
E06,RMD,衝擊後,2023-12-31,,1162801000,RevenueFromContractWithCustomerExcludingAssessedTax,646934000.0,275094000.0,208800000,559115000
E06,RMD,衝擊後,2024-03-31,,1196980000,RevenueFromContractWithCustomerExcludingAssessedTax,692781000.0,374584000.0,300492000,961146000
E06,RMD,衝擊後,2024-09-30,,1224509000,RevenueFromContractWithCustomerExcludingAssessedTax,717219000.0,387312000.0,311355000,325538000
E06,RMD,衝擊後,2024-12-31,,1282089000,RevenueFromContractWithCustomerExcludingAssessedTax,751275000.0,417243000.0,344622000,634161000
E06,KO,衝擊前,2022-09-30,,11063000000,Revenues,6497000000.0,3088000000.0,2825000000,8068000000
E06,KO,衝擊前,2023-03-31,,10980000000,Revenues,6663000000.0,3367000000.0,3107000000,160000000
E06,KO,衝擊前,2023-06-30,,11972000000,Revenues,7060000000.0,2401000000.0,2547000000,4629000000
