ticker,price,net_debt_old,net_debt_new,net_debt_diff,per_share_old,per_share_new,per_share_diff,g5_old,g5_new,g5_diff,cheap_old,cheap_new,flipped
ADTN,7.099999904632568,-45144000.0,-46160000.0,-1016000.0,-8.70187138228881,-8.689320114808451,0.012551267480358064,,,,False,False,False
SEDG,34.20000076293945,-504565000.0,-172233000.0,332332000.0,-287.1175607952236,-292.56159296588066,-5.444032170657067,,,,False,False,False
INOD,55.65999984741211,-246622000.0,-246622000.0,0.0,54.82669999348519,54.82669999348519,0.0,0.3956947326660156,0.3956947326660156,0.0,False,False,False
VPG,63.0099983215332,-36593000.0,-36593000.0,0.0,6012.498180007022,6012.498180007022,0.0,0.2606315612792969,0.2606315612792969,0.0,True,True,False
LINC,25.639999389648438,153023000.0,153023000.0,0.0,5.443025315971279,5.443025315971279,0.0,0.9654808044433594,0.9654808044433594,0.0,False,False,False
ARRY,4.599999904632568,401906000.0,401906000.0,0.0,-6.772226718030569,-6.772226718030569,0.0,,,,False,False,False
UTI,22.200000762939453,189351000.0,189351000.0,0.0,2.6323406355994003,2.6323406355994003,0.0,,,,False,False,False
MRAM,16.3700008392334,-42991000.0,-42991000.0,0.0,-12.577428861874422,-12.577428861874422,0.0,,,,False,False,False
CIEN,321.0,172571000.0,172571000.0,0.0,77.28344675327143,77.28344675327143,0.0,0.8189888000488281,0.8189888000488281,0.0,False,False,False
LASR,40.060001373291016,-315604000.0,-315604000.0,0.0,-43.89269160824119,-43.89269160824119,0.0,,,,False,False,False
ENPH,36.369998931884766,-318514000.0,-318514000.0,0.0,7.835733905010716,7.835733905010716,0.0,1.0754966735839844,1.0754966735839844,0.0,False,False,False
AAON,79.4000015258789,17071000.0,17071000.0,0.0,189.80055110405047,189.80055110405047,0.0,0.2616996765136719,0.2616996765136719,0.0,True,True,False
STRL,486.489990234375,-94402000.0,-94402000.0,0.0,2665.4437350535964,2665.4437350535964,0.0,0.11066818237304688,0.11066818237304688,0.0,True,True,False
RMBS,85.45999908447266,-762735000.0,-762735000.0,0.0,56.6336842496604,56.6336842496604,0.0,0.3205528259277344,0.3205528259277344,0.0,False,False,False
AIP,21.3700008392334,-88079000.0,-88079000.0,0.0,-51.07549034319296,-51.07549034319296,0.0,,,,False,False,False
CLFD,28.649999618530273,-144843000.0,-144843000.0,0.0,-17.602612422631015,-17.602612422631015,0.0,,,,False,False,False
CEVA,26.950000762939453,-198148000.0,-198148000.0,0.0,4.527728402932342,4.527728402932342,0.0,,,,False,False,False
TROX,4.809999942779541,55000000.0,55000000.0,0.0,-18.161631905263814,-18.161631905263814,0.0,,,,False,False,False
LMB,49.86000061035156,6215000.0,6215000.0,0.0,29.61163076775087,29.61163076775087,0.0,0.7358894348144531,0.7358894348144531,0.0,False,False,False
ON,74.37999725341797,841000000.0,841000000.0,0.0,9.201888479703548,9.201888479703548,0.0,0.7205619812011719,0.7205619812011719,0.0,False,False,False
ARM,252.08999633789062,-3441800000.0,-3441800000.0,0.0,23.19224008446567,23.19224008446567,0.0,1.1542701721191406,1.1542701721191406,0.0,False,False,False
POWL,181.1699981689453,-631037000.0,-631037000.0,0.0,85.17122276094717,85.17122276094717,0.0,0.3417549133300781,0.3417549133300781,0.0,False,False,False
MEC,19.65999984741211,26825000.0,26825000.0,0.0,-21.831268427021286,-21.831268427021286,0.0,,,,False,False,False
MYRG,286.5899963378906,-72335000.0,-72335000.0,0.0,125.69605555192818,125.69605555192818,0.0,1.1779289245605469,1.1779289245605469,0.0,False,False,False
LUMN,6.769999980926514,-474000000.0,-474000000.0,0.0,1.3964460424765281,1.3964460424765281,0.0,,,,False,False,False
ORCL,158.77999877929688,6043000000.0,6043000000.0,0.0,,,,,,,,,False
AGX,417.989990234375,-541502000.0,-541502000.0,0.0,406.69962265635047,406.69962265635047,0.0,0.2994041442871094,0.2994041442871094,0.0,False,False,False
DOCN,112.47000122070312,633114000.0,633114000.0,0.0,18.31435405956757,18.31435405956757,0.0,0.7529792785644531,0.7529792785644531,0.0,False,False,False
FN,407.3999938964844,-871042000.0,-871042000.0,0.0,424487.1955454339,424487.1955454339,0.0,,,,True,True,False
MTZ,237.19000244140625,302590000.0,302590000.0,0.0,-31.982593739180082,-31.982593739180082,0.0,,,,False,False,False
AMKR,47.77000045776367,-487949000.0,-330911000.0,157038000.0,24.364835980230296,23.735601697263593,-0.6292342829667028,0.4668312072753906,0.4726524353027344,0.00582122802734375,False,False,False
CRNC,8.529999732971191,187052000.0,187052000.0,0.0,6.075899738583966,6.075899738583966,0.0,0.3399391174316406,0.3399391174316406,0.0,False,False,False
MOD,194.66000366210938,56200000.0,56200000.0,0.0,145.90487267802644,145.90487267802644,0.0,0.3914222717285156,0.3914222717285156,0.0,False,False,False
FSLR,204.4499969482422,-1607455000.0,-1569820000.0,37635000.0,461.70833835430653,461.35899925357506,-0.3493391007314699,0.009944915771484375,0.010425567626953125,0.00048065185546875,True,True,False
CRUS,113.20999908447266,-680202000.0,-680202000.0,0.0,109.41465969143142,109.41465969143142,0.0,0.07392501831054688,0.07392501831054688,0.0,False,False,False
IPGP,78.0,-887758000.0,-887758000.0,0.0,12.021821510401123,12.021821510401123,0.0,,,,False,False,False
IREN,44.68000030517578,1700139000.0,1700139000.0,0.0,-5747.327532408262,-5747.327532408262,0.0,,,,False,False,False
GNRC,187.35000610351562,999492000.0,999492000.0,0.0,41.41513955582352,41.41513955582352,0.0,0.5418128967285156,0.5418128967285156,0.0,False,False,False
CDNS,292.70001220703125,-1401325000.0,-1401325000.0,0.0,92.77464904590963,92.77464904590963,0.0,0.4885139465332031,0.4885139465332031,0.0,False,False,False
TTMI,125.5999984741211,580079000.0,580079000.0,0.0,60.06555914070029,60.06555914070029,0.0,0.5153770446777344,0.5153770446777344,0.0,False,False,False
CENX,46.779998779296875,-187400000.0,-187400000.0,0.0,83.17551780449209,83.17551780449209,0.0,-0.058574676513671875,-0.058574676513671875,0.0,True,True,False
CLS,312.3500061035156,-364900000.0,-364900000.0,0.0,522.6517354810413,522.6517354810413,0.0,0.2980690002441406,0.2980690002441406,0.0,True,True,False
VIAV,34.86000061035156,-209700000.0,32100000.0,241800000.0,753.6045870089292,680.331859736202,-73.27272727272725,,-0.3995170593261719,,True,True,False
ALB,126.27999877929688,625935000.0,625935000.0,0.0,3.0267157485207874,3.0267157485207874,0.0,,,,False,False,False
FLEX,109.51000213623047,3239000000.0,3239000000.0,0.0,19.532384571583783,19.532384571583783,0.0,,,,False,False,False
COLL,23.530000686645508,-281840000.0,-281840000.0,0.0,82.41294311681361,82.41294311681361,0.0,-0.24239730834960938,-0.24239730834960938,0.0,True,True,False
MRCY,82.41999816894531,-154891000.0,-154891000.0,0.0,-1102.3565809132053,-1102.3565809132053,0.0,0.045032501220703125,0.045032501220703125,0.0,False,False,False
SAIA,357.94000244140625,85053000.0,185053000.0,100000000.0,127.72911944480549,124.00236507518599,-3.726754369619499,0.4306221008300781,0.4343070983886719,0.00368499755859375,False,False,False
QCOM,168.74000549316406,-2542000000.0,6468000000.0,9010000000.0,86.44957391625367,78.02113612392439,-8.428437792329277,0.22533035278320312,0.24039077758789062,0.0150604248046875,False,False,False
HLIT,11.779999732971191,-101739000.0,-101739000.0,0.0,2.4658399491497667,2.4658399491497667,0.0,0.5807456970214844,0.5807456970214844,0.0,False,False,False
KRMN,39.97999954223633,-29942000.0,-29942000.0,0.0,61.83555777052914,61.83555777052914,0.0,0.3675498962402344,0.3675498962402344,0.0,True,True,False
PUMP,11.470000267028809,59965000.0,59965000.0,0.0,-0.8806672823763957,-0.8806672823763957,0.0,,,,False,False,False
SANM,198.47000122070312,372961000.0,587961000.0,215000000.0,-407.62142433890307,-411.5210851591015,-3.8996608201984486,,,,False,False,False
CRDO,170.57000732421875,-738053000.0,-738053000.0,0.0,2312.297670214405,2312.297670214405,0.0,0.17000198364257812,0.17000198364257812,0.0,True,True,False
CLVT,2.069999933242798,-190900000.0,-190900000.0,0.0,1.5926191334078623,1.5926191334078623,0.0,,,,False,False,False
MTSI,268.95001220703125,-737079000.0,-737079000.0,0.0,88.3030902006744,88.3030902006744,0.0,0.6663017272949219,0.6663017272949219,0.0,False,False,False
TDC,28.049999237060547,-406000000.0,-406000000.0,0.0,15.086855620431171,15.086855620431171,0.0,0.4649085998535156,0.4649085998535156,0.0,False,False,False
