選取,video_id,title,duration_sec,upload_date,channel,url,query
,zdbVtZIn9IM,"Leopold Aschenbrenner — 2027 AGI, China/US super-intelligence race, & the return of history",16327.0,NA,Dwarkesh Patel,https://www.youtube.com/watch?v=zdbVtZIn9IM,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,p6Fd7ePiQqc,Situational Awareness Comes Roaring Back With Big Bet,267.0,NA,Bloomberg Television,https://www.youtube.com/watch?v=p6Fd7ePiQqc,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,x6QZoizvnwM,Leopold Aschenbrenner's Situational Awareness Hit by AI Selloff,373.0,NA,Bloomberg Podcasts,https://www.youtube.com/watch?v=x6QZoizvnwM,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,rE75WvOtcu8,We Need To Talk About Leopold,2488.0,NA,Patrick Boyle,https://www.youtube.com/watch?v=rE75WvOtcu8,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,mJhGRim2MWY,Leopold Aschenbrenner Turned $100M Into $45B Betting on AI — Then It Almost Blew Up,722.0,NA,LA Times Studios,https://www.youtube.com/watch?v=mJhGRim2MWY,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,CARL-MKcy3c,Leopold Aschenbrenner - Inside The $45B AI Bet That Unravelled,925.0,NA,Valuetainment,https://www.youtube.com/watch?v=CARL-MKcy3c,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,LT--MRXr4HE,"Leopold Aschenbrenner chats with Ben Yeoh on existential risk, growth and valedictorian efficiency",6478.0,NA,Ben Yeoh Chats,https://www.youtube.com/watch?v=LT--MRXr4HE,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,1uk8eZwOdhI,"Leopold Aschenbrenner says ""No More Stocks!""",1648.0,NA,Limitless Podcast,https://www.youtube.com/watch?v=1uk8eZwOdhI,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,sDlH8OwFqgU,Situational Awareness: How a 25-Year-Old's Hedge Fund Exposed the Entire AI Bubble,1133.0,NA,UNFTR Media,https://www.youtube.com/watch?v=sDlH8OwFqgU,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,mlF-EENdLnA,Leopold Was Actually Right (Citadel vs Situational Awareness),1555.0,NA,Limitless Podcast,https://www.youtube.com/watch?v=mlF-EENdLnA,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,667IffkMDmU,AI Labs are extremely vulnerable to espionage – Leopold Aschenbrenner,305.0,NA,Dwarkesh Patel,https://www.youtube.com/watch?v=667IffkMDmU,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,ghluOfM-Xik,How the US-China AI Race Will Play Out – Leopold Aschenbrenner,458.0,NA,Dwarkesh Patel,https://www.youtube.com/watch?v=ghluOfM-Xik,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,loWsFH1f56E,He just got LIQUIDATED ON AI - Situational Awareness Blows Up,703.0,NA,TechLead,https://www.youtube.com/watch?v=loWsFH1f56E,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,AR9mx5CH3aA,How Leopold Aschenbrenner Lost $45 Billion in 3 Days,775.0,NA,Alex Temiz - Live Trading - My Investing Club,https://www.youtube.com/watch?v=AR9mx5CH3aA,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,O0pWKBZ707Y,Situational Awareness Leopold Aschenbrenner LIQUIDATED ," $20B Fund Behind NBIS, IREN, CRWV & SNDK",238.0,NA|The Last Print,https://www.youtube.com/watch?v=O0pWKBZ707Y,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,RJdgh9eEZvw,Martin Shkreli Breaks Down the Collapse of Situational Awareness,2629.0,NA,TBPN,https://www.youtube.com/watch?v=RJdgh9eEZvw,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,K0Pa5oudUp4,AI Nationalization is Inevitable – Leopold Aschenbrenner,743.0,NA,Dwarkesh Patel,https://www.youtube.com/watch?v=K0Pa5oudUp4,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
,EA9xQT2cPhE,Aschenbrenner bet everything on AI — and lost,531.0,NA,Pivot to AI,https://www.youtube.com/watch?v=EA9xQT2cPhE,ytsearch20:Situational Awareness Leopold Aschenbrenner interview
