lookback,0,4
2,-0.329,
3,-1.695,
4,-0.84,
5,-0.092,0.348
6,-1.367,-1.685
7,-1.614,-2.512
8,-0.083,-3.765
9,0.093,-2.149
10,-0.051,-1.281
11,-1.229,-2.344
12,-0.241,-2.503
13,0.006,-2.152
14,-0.017,-1.086
15,0.36,-0.703
16,-0.736,-2.324
17,-0.006,-1.78
18,0.824,-0.196
19,0.038,0.741
20,-0.677,-0.135
21,-0.366,0.955
22,-0.408,1.057
23,-0.555,0.543
24,-0.67,0.684
25,0.392,1.19
26,-1.18,0.326
27,-1.203,0.237
28,-0.1,-0.127
29,0.904,0.189
30,0.989,1.381
31,0.097,0.407
32,-0.5,0.304
33,1.149,0.032
34,1.399,0.2
35,0.601,0.134
36,0.865,-0.224
37,1.373,1.007
38,1.301,0.712
39,1.038,1.286
40,-0.031,0.593
41,0.338,0.515
42,0.54,-0.747
43,0.668,0.394
44,0.609,0.792
45,1.721,1.899
46,2.249,1.343
47,3.104,0.902
48,1.976,1.242
49,1.169,1.468
50,0.673,1.693
51,1.433,1.615
52,0.807,1.368
