lookback,0,4
2,-0.13,
3,-0.934,
4,-0.442,
5,0.027,0.339
6,-0.74,-0.923
7,-1.026,-1.481
8,-0.083,-2.413
9,0.028,-1.388
10,-0.029,-0.79
11,-0.69,-1.333
12,-0.108,-1.448
13,0.047,-1.305
14,-0.041,-0.664
15,0.145,-0.438
16,-0.425,-1.325
17,-0.007,-1.094
18,0.439,-0.153
19,-0.014,0.386
20,-0.395,-0.084
21,-0.22,0.545
22,-0.256,0.596
23,-0.352,0.261
24,-0.389,0.373
25,0.19,0.674
26,-0.729,0.16
27,-0.764,0.122
28,-0.079,-0.104
29,0.498,0.061
30,0.548,0.763
31,0.013,0.167
32,-0.35,0.144
33,0.635,-0.009
34,0.779,0.105
35,0.339,0.051
36,0.485,-0.148
37,0.79,0.57
38,0.749,0.388
39,0.597,0.72
40,-0.065,0.3
41,0.153,0.281
42,0.285,-0.5
43,0.379,0.215
44,0.331,0.444
45,1.005,1.122
46,1.352,0.838
47,1.808,0.562
48,1.154,0.715
49,0.651,0.836
50,0.369,1.047
51,0.859,1.045
52,0.489,0.862
