lookback,0,4
2,-0.332,
3,-1.699,
4,-0.84,
5,-0.095,0.339
6,-1.369,-1.688
7,-1.617,-2.516
8,-0.088,-3.767
9,0.089,-2.154
10,-0.057,-1.287
11,-1.233,-2.348
12,-0.247,-2.507
13,0.0,-2.155
14,-0.022,-1.094
15,0.355,-0.71
16,-0.742,-2.33
17,-0.011,-1.788
18,0.817,-0.204
19,0.033,0.733
20,-0.681,-0.143
21,-0.372,0.947
22,-0.414,1.049
23,-0.562,0.536
24,-0.677,0.676
25,0.387,1.183
26,-1.183,0.319
27,-1.208,0.23
28,-0.105,-0.134
29,0.898,0.182
30,0.983,1.372
31,0.089,0.399
32,-0.505,0.297
33,1.141,0.024
34,1.392,0.193
35,0.595,0.126
36,0.858,-0.23
37,1.367,1.0
38,1.295,0.705
39,1.031,1.277
40,-0.036,0.586
41,0.331,0.506
42,0.533,-0.753
43,0.662,0.387
44,0.603,0.785
45,1.714,1.891
46,2.241,1.336
47,3.097,0.895
48,1.969,1.235
49,1.163,1.46
50,0.667,1.687
51,1.427,1.608
52,0.801,1.36
