lookback,0,1
1,-0.19,
2,-0.202,-1.672
3,-0.04,-1.477
4,-0.174,-0.864
5,-0.354,0.746
6,-0.243,0.265
7,0.65,0.536
8,0.755,0.544
9,0.545,0.625
10,0.227,-0.317
11,1.212,0.528
12,0.269,0.484
