group,holding_month,pick,decision_month,rel_1m_pct,rel_3m_pct,rel_6m_pct,fwd_rel_1m_pct,months_since_last_peak,cycle_phase_at_entry
main_12_1,2000-01,XLK,1999-12,9.199480795846426,14.210643262436129,23.47950999594555,-3.4517880588482153,,上升段(未見頂)
main_12_1,2000-01,XLE,1999-12,-4.7389021453264295,-13.39591868477802,-9.694270613168143,5.733483915569526,4.698151950718686,已見頂(下降段)
main_12_1,2000-01,XLI,1999-12,2.257148057302638,-9.584388558368495,-7.307051266743891,-2.162543127282446,,上升段(未見頂)
main_12_1,2000-02,XLK,2000-01,-1.23107792106939,16.502455390568848,19.560298982053514,12.377341819973687,,上升段(未見頂)
main_12_1,2000-02,XLB,2000-01,-7.62925194810371,-5.463784575889097,-13.493626706870232,-7.4546294960517905,0.8213552361396304,已見頂(下降段)
main_12_1,2000-02,XLE,2000-01,6.089292611226527,-0.7658069099287346,-8.893081119619872,-3.227658436909875,5.716632443531828,已見頂(下降段)
main_12_1,2000-03,XLK,2000-02,12.215457578658274,21.030150204446983,28.9390828272714,-2.5517610907290766,,上升段(未見頂)
main_12_1,2000-03,XLE,2000-02,-2.7526690243104057,-1.7200727002743,-12.81319643150315,4.41342876187929,6.669404517453799,已見頂(下降段)
main_12_1,2000-03,XLI,2000-02,-4.056345457505417,-5.19549052370738,-14.701013596141077,4.917980845684866,8.542094455852157,已見頂(下降段)
main_12_1,2000-04,XLK,2000-03,-1.1871547771095448,9.518226756166914,25.081471267831645,-4.314590207649416,,上升段(未見頂)
main_12_1,2000-04,XLE,2000-03,2.507845826228783,5.756325114187155,-8.410706202118822,1.313687474820402,,上升段(未見頂)
main_12_1,2000-04,XLI,2000-03,3.855520387701983,-3.713609720039035,-12.942071493297647,3.812240746707629,9.560574948665298,已見頂(下降段)
main_12_1,2000-05,XLK,2000-04,-5.879149065267663,4.364292716648888,21.586963565896554,-8.004785221209133,1.6098562628336757,已見頂(下降段)
main_12_1,2000-05,XLV,2000-04,2.425582408032745,-3.408769663717348,1.6822140843080424,-0.8132619328201529,,未有轉折
main_12_1,2000-05,XLE,2000-04,2.093031830290082,1.772606833224022,0.99322517768059,12.132938959178553,,上升段(未見頂)
main_12_1,2000-06,XLK,2000-05,-8.966458025592772,-15.335628204422502,2.4694163538389047,6.130836359323433,2.6940451745379876,已見頂(下降段)
main_12_1,2000-06,XLV,2000-05,-1.1258571918474125,0.6293770842352497,1.0347376577077405,-2.513308357241406,,未有轉折
main_12_1,2000-06,XLI,2000-05,1.1687116277380172,10.466773061198698,4.727482334958788,-5.117884719947618,,上升段(未見頂)
main_12_1,2000-07,XLK,2000-06,7.833276028538094,-7.606783783811533,1.187412042960867,-3.956064566618467,3.679671457905544,已見頂(下降段)
main_12_1,2000-07,XLE,2000-06,-7.3256134408644975,7.412883205283194,13.595917977101424,-1.2381773226764592,,上升段(未見頂)
main_12_1,2000-07,XLV,2000-06,-1.7223985147018839,-0.4718979775031662,-3.7215597322983296,0.4983761171495127,,未有轉折
main_12_1,2000-08,XLK,2000-07,-3.7950159016171714,-5.56090591402878,-1.4393074091655467,4.578903419195179,4.698151950718686,已見頂(下降段)
main_12_1,2000-08,XLE,2000-07,-2.275980873271821,2.8162105153174855,4.638737688574013,2.958696602888211,2.2669404517453797,已見頂(下降段)
main_12_1,2000-08,XLV,2000-07,0.09174440940080686,-2.7397148741303945,-6.055093968346026,-3.2569662387916143,,未有轉折
main_12_1,2000-09,XLK,2000-08,3.413408357967973,7.282089544694914,-9.170292837815119,-11.863574165140978,5.716632443531828,已見頂(下降段)
main_12_1,2000-09,XLF,2000-08,3.4007928379182983,6.667781333157574,24.99087075171371,7.567771893681696,,上升段(未見頂)
main_12_1,2000-09,XLV,2000-08,-2.809692489979543,-4.396066034808477,-3.7943567828041536,3.0144138528345854,,未有轉折
main_12_1,2000-10,XLK,2000-09,-13.203963131348784,-13.647618412307628,-20.216257371855264,-6.693042015152018,6.669404517453799,已見頂(下降段)
main_12_1,2000-10,XLF,2000-09,8.104818514666402,23.576120668317046,25.32842746068642,-0.2101616603360501,,上升段(未見頂)
main_12_1,2000-10,XLE,2000-09,7.544191563069558,9.424012041783136,17.53548625297554,-1.0589104715830078,,上升段(未見頂)
main_12_1,2000-11,XLE,2000-10,-2.260919463061506,9.440876676976684,12.522962154009365,0.5342300754856533,,上升段(未見頂)
main_12_1,2000-11,XLF,2000-10,-0.39603287832754575,11.338548980172703,19.295641223947513,2.752359931804471,,上升段(未見頂)
