iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Sep 08, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"134,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ZM","ZOOM COMMUNICATIONS CLASS A","Information Technology","Equity","117,661,718.44","0.87","117,661,718.44","1,220,051.00","96.44","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC","Information Technology","Equity","99,315,252.90","0.73","99,315,252.90","106,413.00","933.30","United States","NYSE","USD","1.00","USD","-"
"NTNX","NUTANIX CLASS A","Information Technology","Equity","82,143,698.76","0.61","82,143,698.76","1,217,124.00","67.49","United States","NASDAQ","USD","1.00","USD","-"
"ZS","ZSCALER","Information Technology","Equity","76,477,298.58","0.56","76,477,298.58","472,257.00","161.94","United States","NASDAQ","USD","1.00","USD","-"
"GEN","GEN DIGITAL","Information Technology","Equity","75,404,782.53","0.56","75,404,782.53","2,529,513.00","29.81","United States","NASDAQ","USD","1.00","USD","-"
"PTC","PTC","Information Technology","Equity","70,635,810.40","0.52","70,635,810.40","530,080.00","133.26","United States","NASDAQ","USD","1.00","USD","-"
"U","UNITY SOFTWARE","Information Technology","Equity","68,529,660.75","0.51","68,529,660.75","1,603,033.00","42.75","United States","NYSE","USD","1.00","USD","-"
"IOT","SAMSARA CLASS A","Information Technology","Equity","68,371,314.55","0.50","68,371,314.55","1,702,897.00","40.15","United States","NYSE","USD","1.00","USD","-"
"DT","DYNATRACE INC","Information Technology","Equity","68,015,263.69","0.50","68,015,263.69","1,352,461.00","50.29","United States","NYSE","USD","1.00","USD","-"
"RBRK","RUBRIK CLASS A","Information Technology","Equity","67,698,901.27","0.50","67,698,901.27","738,829.00","91.63","United States","NYSE","USD","1.00","USD","-"
"TYL","TYLER TECHNOLOGIES","Information Technology","Equity","67,208,562.96","0.50","67,208,562.96","193,228.00","347.82","United States","NYSE","USD","1.00","USD","-"
