口徑,特徵,欄名,三分位,n,中位十二個月超額,平均十二個月超額,贏家比例
新聞點名／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,低,61,-0.0772,0.1208,0.4754
新聞點名／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,中,52,0.002,0.0782,0.5
新聞點名／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,高,58,-0.0797,0.0149,0.3448
新聞點名／衝擊低點,市值(對數),f_log_mcap,低,47,-0.0287,0.0921,0.4255
新聞點名／衝擊低點,市值(對數),f_log_mcap,中,39,0.045,0.2513,0.5128
新聞點名／衝擊低點,市值(對數),f_log_mcap,高,45,0.0348,0.1278,0.5556
新聞點名／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,低,25,0.1335,0.317,0.76
新聞點名／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,中,20,0.1811,0.336,0.7
新聞點名／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,高,23,-0.0087,0.0791,0.4783
新聞點名／衝擊低點,總債務÷總資產,f_debt_to_assets,低,33,-0.0093,0.021,0.4242
新聞點名／衝擊低點,總債務÷總資產,f_debt_to_assets,中,29,0.1089,0.3271,0.6552
新聞點名／衝擊低點,總債務÷總資產,f_debt_to_assets,高,31,0.0348,0.0623,0.5161
新聞點名／衝擊低點,總負債÷總資產,f_liab_to_assets,低,45,-0.0548,0.0731,0.4
新聞點名／衝擊低點,總負債÷總資產,f_liab_to_assets,中,38,-0.0737,0.1027,0.4474
新聞點名／衝擊低點,總負債÷總資產,f_liab_to_assets,高,41,-0.0477,0.0472,0.4634
新聞點名／衝擊低點,四季經營現金流為正(1/0),f_ocf_positive,中,144,-0.0456,0.0583,0.4514
新聞點名／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,低,44,-0.1202,-0.0089,0.3409
新聞點名／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,中,38,-0.0406,0.0899,0.4737
新聞點名／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,高,42,-0.0261,0.0711,0.4524
新聞點名／衝擊低點,淨利率,f_ni_margin,低,53,-0.0285,0.0478,0.4717
新聞點名／衝擊低點,淨利率,f_ni_margin,中,45,-0.0793,0.0678,0.3778
新聞點名／衝擊低點,淨利率,f_ni_margin,高,51,-0.0546,0.0615,0.4118
新聞點名／衝擊低點,市銷率 P/S,f_ps,低,43,-0.0023,0.1131,0.4884
新聞點名／衝擊低點,市銷率 P/S,f_ps,中,34,-0.0181,0.2003,0.4706
新聞點名／衝擊低點,市銷率 P/S,f_ps,高,40,0.0209,0.1768,0.525
新聞點名／衝擊低點,市帳率 P/B,f_pb,低,45,-0.0522,0.2104,0.4667
新聞點名／衝擊低點,市帳率 P/B,f_pb,中,38,0.0438,0.1097,0.5263
新聞點名／衝擊低點,市帳率 P/B,f_pb,高,43,0.0348,0.1659,0.5349
新聞點名／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,低,39,-0.0093,0.1234,0.4615
新聞點名／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,中,32,0.0209,0.2435,0.5312
新聞點名／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,高,36,0.1748,0.2455,0.6667
新聞點名／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,低,53,-0.0023,0.0813,0.4906
新聞點名／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,中,43,-0.122,-0.0436,0.3721
新聞點名／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,高,51,-0.0946,0.0665,0.3725
新聞點名／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,低,53,-0.0287,0.1043,0.4906
新聞點名／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,中,46,-0.0797,-0.0017,0.3913
新聞點名／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,高,51,-0.0548,0.0692,0.3922
新聞點名／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,低,61,-0.1751,0.0211,0.4098
新聞點名／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,中,52,-0.0324,0.0212,0.4615
