event_id,basket_kind,entity_id,ticker,T_12m_excess,N_12m_excess,dollar_vol_60d,f_ocf_margin,f_ni_margin,mcap_usd_修後,f_ps_修後,f_pb_修後,f_log_mcap_修後,mcap_status_修後
E01,新聞點名,0000732717,T,-0.0998050339751384,-0.14042081578564,830121895.6144676,0.3117242139751748,0.0581248818599962,198737205500.1831,1.565254280607579,2.249736302612501,26.015249213566857,有
E01,新聞點名,0000732712,VZ,-0.1143088345093186,-0.1849138474946564,596862499.7817993,0.2825061525840853,0.0097501367240907,148978382873.83624,1.2730583715634078,1.7008994710900607,25.7270670509829,有
E01,新聞點名,0001063761,SPG,-0.0476573217667412,-0.0771740876849153,193658098.8892212,0.5005114373056236,0.2556726335022182,,,,,無股數
E01,新聞點名,0001043219,NLY,-0.0872527407096164,-0.1841398358574482,130672507.2552204,,,13878953979.657446,,0.9067437208430978,23.353639427489085,有
E01,新聞點名,0001428205,ARR,-0.0772070034786926,-0.1110284973520812,37460820.22670746,,,2154930319.2338405,,0.7955300909236644,21.491024225517098,有
E01,新聞點名,0001423689,AGNC,0.0713298071603985,-0.0231721282054836,173198678.6436081,,,11318689166.031532,,0.9722289268194066,23.149721104962584,有
E01,新聞點名,0001047862,ED,-0.1565658626694296,-0.1724096858450502,81076105.8933258,0.2132425336396455,0.0936166721365277,17827446781.69319,1.4627048557345907,1.5020175905041024,23.604005060681697,有
E01,新聞點名,0000726728,O,-0.1068060619163007,-0.1066046557218383,66219982.23382187,0.7588978736422038,0.4376292731481693,10798734264.9328,24.653181009649657,2.106005386336937,23.102694766516993,有
E01,新聞點名,0000765880,DOC,-0.1696558082367893,-0.2249424304181894,108959724.02573586,0.5409296286361575,0.4426910886624112,25123996487.90471,12.787850872130488,2.3743847369402404,23.947089261748086,有
E01,新聞點名,0000740260,VTR,-0.1675819833447894,-0.2193295971833898,98017612.34589386,0.3756407986706487,0.1477666661418284,24312231301.750973,9.336576821435433,2.7270086710861956,23.914245406408003,有
E01,新聞點名,0000766704,WELL,-0.1361418950011045,-0.1878795422477126,116804334.63897704,0.4176353707090027,0.1524876834491786,20657264580.68788,10.223053703223895,2.02904697017946,23.75133289016282,有
E01,新聞點名,0001393311,PSA,-0.0548209005157681,-0.071332079958057,85047726.67694092,0.7091649101622094,0.5098738012194004,28824023.969787598,0.015538473630755412,0.0033033999032254535,17.17671976300102,有
E01,新聞點名,0001297996,DLR,-0.0285280744953028,-0.169254309746932,83773795.38841248,0.4145732557821853,0.0754779814352771,8227519666.750992,6.075158010403238,2.4591861754914675,22.8307504291467,有
E01,新聞點名,0001037540,BXP,-0.028724990019103,-0.0503351923711031,120153082.30743408,,0.1544276083408865,17388267285.22934,9.27633002977862,3.307720003414451,23.579061521776143,有
E01,新聞點名,0000092122,SO,-0.1203088320382331,-0.1423523413733962,160159711.07006073,,0.1262925109078955,40420935342.9805,2.4159306283533857,2.1564732897450116,24.422613689252376,有
E01,新聞點名,0001326160,DUK,-0.0792985748696911,-0.091255012055217,172432752.90107727,0.2495432121322857,0.096245203727389,50382725412.04094,2.3014217710597906,1.2302572561727088,24.642914203510518,有
E01,新聞點名,0000715957,D,0.0347529778174775,0.0523035726843135,110948055.92250824,0.3221711704695896,0.0228954131298185,34976230713.94916,2.7237933738765796,3.3096357602147197,24.277934545269115,有
E01,新聞點名,0001109357,EXC,-0.118670973586424,-0.0362279525183125,192019943.1073885,0.2409483624673498,0.0387783805505324,29963284722.510807,1.2040701114129317,1.4208015895732755,24.123238626518678,有
E01,新聞點名,0000753308,NEE,0.026193521747988,0.0530255616168109,131415273.76060486,0.299279864445072,0.1216464275628353,34179118152.075195,2.413097864450381,,24.2548807141862,有
E01,新聞點名,0001506307,KMI,-0.1428261252805802,-0.1936561567195288,123130049.34120178,0.2686113099498926,0.0524337866857551,,,,,無股數
E01,同SIC全體,0000003499,ALX,0.0627019585020296,0.0829116006094141,893241.0049438477,,,1632827317.0698242,,4.866528326219515,21.21357889951951,有
E01,同SIC全體,0000003570,LNG,1.1580744368763294,0.9685966337808468,95910830.58042526,-0.4050785064983848,-1.2500187814589436,7315431868.661842,27.478896659386383,14.343955930795905,22.713251908453884,有
E01,同SIC全體,0000006207,AXR,-0.5232661278966544,-0.424000044364365,71592.5003528595,,,52706703.251262665,,0.7092241677601413,17.780253201841457,有
