口徑,有十二個月成熟結果的成員數,事件數
新聞點名／衝擊低點,175,14
新聞點名／衝擊結束日(新聞),175,14
同SIC全體／衝擊低點,3420,14
同SIC全體／衝擊結束日(新聞),3420,14
