event_id,event,池,窗口,n,中位,平均,前後20差距,贏家比例,最好,最差
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,①池 過現金流閘(D-173 口徑),3m,731,-0.0166,0.0439,0.8827,0.4706,4.7303,-0.8943
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,①池 全部觸發,6m,1492,-0.0674,0.1235,1.9049,0.435,24.2374,-0.9976
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,①池 過現金流閘(D-173 口徑),6m,731,-0.034,0.0549,1.202,0.4501,5.8915,-0.963
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,①池 全部觸發,12m,1492,-0.1427,0.1997,2.9253,0.4082,71.5717,-0.9991
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,①池 過現金流閘(D-173 口徑),12m,731,-0.0586,0.119,1.8853,0.4637,9.3556,-0.9989
E08,2025-04 對等關稅殺零售與電子硬件,①池 全部觸發,3m,1217,-0.0217,0.1011,1.4081,0.4634,41.9843,-0.9931
E08,2025-04 對等關稅殺零售與電子硬件,①池 過現金流閘(D-173 口徑),3m,607,-0.0177,0.0465,0.8709,0.4712,4.7303,-0.8943
E08,2025-04 對等關稅殺零售與電子硬件,①池 全部觸發,6m,1217,-0.0441,0.1524,1.9648,0.4552,20.937,-0.9955
E08,2025-04 對等關稅殺零售與電子硬件,①池 過現金流閘(D-173 口徑),6m,607,-0.0396,0.0542,1.2135,0.4432,5.8915,-0.9491
E08,2025-04 對等關稅殺零售與電子硬件,①池 全部觸發,12m,1217,-0.1217,0.2037,2.9109,0.415,71.5717,-0.9989
E08,2025-04 對等關稅殺零售與電子硬件,①池 過現金流閘(D-173 口徑),12m,607,-0.0586,0.1181,1.87,0.453,9.3556,-0.9989
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,①池 全部觸發,3m,369,-0.0347,0.067,1.1905,0.4499,21.9658,-0.8683
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,①池 過現金流閘(D-173 口徑),3m,212,-0.0323,-0.0176,0.7308,0.4434,5.2821,-0.712
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,①池 全部觸發,6m,369,-0.0442,0.0974,1.5187,0.4255,34.6227,-0.8977
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,①池 過現金流閘(D-173 口徑),6m,212,-0.0437,0.1373,1.6402,0.4104,34.6227,-0.7969
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,①池 全部觸發,12m,369,-0.2488,-0.0945,1.6057,0.2818,11.3751,-0.9244
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,①池 過現金流閘(D-173 口徑),12m,212,-0.2479,-0.1351,1.3649,0.2877,11.3751,-0.9114
E10,2016-11 特朗普當選殺太陽能與醫院,①池 全部觸發,3m,286,-0.0427,1.444,8.1532,0.4126,397.5482,-0.7603
E10,2016-11 特朗普當選殺太陽能與醫院,①池 過現金流閘(D-173 口徑),3m,122,0.0154,3.3484,17.5525,0.5246,397.5482,-0.5479
E10,2016-11 特朗普當選殺太陽能與醫院,①池 全部觸發,6m,286,-0.1254,1.1813,7.4558,0.3741,350.1731,-0.8947
E10,2016-11 特朗普當選殺太陽能與醫院,①池 過現金流閘(D-173 口徑),6m,122,-0.0327,2.9052,15.6941,0.4836,350.1731,-0.8947
E10,2016-11 特朗普當選殺太陽能與醫院,①池 全部觸發,12m,286,-0.2078,0.7577,5.7492,0.3392,235.4866,-1.0
E10,2016-11 特朗普當選殺太陽能與醫院,①池 過現金流閘(D-173 口徑),12m,122,-0.1126,1.937,11.2348,0.3443,235.4866,-0.9178
E11,2018-03 劍橋分析私隱風暴殺社交平台,①池 全部觸發,3m,181,-0.0053,0.0222,0.8513,0.4751,1.7106,-0.743
E11,2018-03 劍橋分析私隱風暴殺社交平台,①池 過現金流閘(D-173 口徑),3m,92,0.0126,0.0361,0.7112,0.5217,1.2425,-0.5468
E11,2018-03 劍橋分析私隱風暴殺社交平台,①池 全部觸發,6m,181,-0.0689,0.0599,1.5686,0.4254,12.4752,-0.9297
E11,2018-03 劍橋分析私隱風暴殺社交平台,①池 過現金流閘(D-173 口徑),6m,92,-0.0023,0.027,0.9491,0.4891,1.6062,-0.7686
E11,2018-03 劍橋分析私隱風暴殺社交平台,①池 全部觸發,12m,181,-0.1436,0.1513,2.612,0.3591,35.9747,-0.9566
E11,2018-03 劍橋分析私隱風暴殺社交平台,①池 過現金流閘(D-173 口徑),12m,92,-0.0354,0.4159,3.1676,0.4348,35.9747,-0.7921
E12,2019-05 華為實體清單殺半導體,①池 全部觸發,3m,534,-0.1049,-0.0939,0.7653,0.2828,1.8782,-0.8539
E12,2019-05 華為實體清單殺半導體,①池 過現金流閘(D-173 口徑),3m,275,-0.078,-0.0792,0.5918,0.2836,1.8782,-0.6907
E12,2019-05 華為實體清單殺半導體,①池 全部觸發,6m,534,-0.1684,-0.1313,1.1261,0.2622,15.063,-0.9434
E12,2019-05 華為實體清單殺半導體,①池 過現金流閘(D-173 口徑),6m,275,-0.1011,-0.0892,0.7789,0.32,1.2848,-0.9212
E12,2019-05 華為實體清單殺半導體,①池 全部觸發,12m,534,-0.2849,-0.1327,1.6508,0.2809,13.1047,-0.9945
E12,2019-05 華為實體清單殺半導體,①池 過現金流閘(D-173 口徑),12m,275,-0.2919,-0.1953,1.2716,0.2364,3.7007,-0.9906
E13,2022-01 利率衝擊殺未獲利軟件股,①池 全部觸發,3m,868,-0.0961,-0.0732,0.8586,0.3399,9.2642,-0.8916
E13,2022-01 利率衝擊殺未獲利軟件股,①池 過現金流閘(D-173 口徑),3m,399,-0.0288,0.0043,0.7287,0.4612,0.9568,-0.7115
E13,2022-01 利率衝擊殺未獲利軟件股,①池 全部觸發,6m,868,-0.1744,-0.1294,1.1573,0.3145,3.3977,-0.9559
E13,2022-01 利率衝擊殺未獲利軟件股,①池 過現金流閘(D-173 口徑),6m,399,-0.0738,-0.0122,1.0725,0.406,2.9808,-0.9559
E13,2022-01 利率衝擊殺未獲利軟件股,①池 全部觸發,12m,868,-0.2573,-0.1468,1.5632,0.3099,4.4691,-0.9841
E13,2022-01 利率衝擊殺未獲利軟件股,①池 過現金流閘(D-173 口徑),12m,399,-0.0636,0.0106,1.4109,0.4236,3.0616,-0.9815
E14,2023-05 生成式 AI 殺教育科技,①池 全部觸發,3m,1261,-0.0477,-0.0204,0.8562,0.41,3.5509,-0.8987
E14,2023-05 生成式 AI 殺教育科技,①池 過現金流閘(D-173 口徑),3m,647,-0.0211,-0.008,0.5548,0.4513,1.1217,-0.8262
E14,2023-05 生成式 AI 殺教育科技,①池 全部觸發,6m,1261,-0.1322,-0.1165,1.1151,0.3006,5.3581,-0.9699
E14,2023-05 生成式 AI 殺教育科技,①池 過現金流閘(D-173 口徑),6m,647,-0.0622,-0.052,0.743,0.3601,1.7967,-0.8997
E14,2023-05 生成式 AI 殺教育科技,①池 全部觸發,12m,1261,-0.2012,-0.1499,1.4362,0.299,7.6705,-0.9992
E14,2023-05 生成式 AI 殺教育科技,①池 過現金流閘(D-173 口徑),12m,647,-0.1189,-0.0934,0.9922,0.3184,1.6468,-0.9897
E15,2026-02 AI 代理殺應用軟件(SaaSpocalypse),①池 全部觸發,3m,1190,-0.1048,-0.0528,1.1077,0.3487,8.1031,-0.9943
E15,2026-02 AI 代理殺應用軟件(SaaSpocalypse),①池 過現金流閘(D-173 口徑),3m,491,-0.0758,-0.0122,0.97,0.3849,4.1769,-0.9943
E15,2026-02 AI 代理殺應用軟件(SaaSpocalypse),①池 全部觸發,6m,744,-0.1693,-0.0925,1.447,0.332,5.5848,-0.9977
E15,2026-02 AI 代理殺應用軟件(SaaSpocalypse),①池 過現金流閘(D-173 口徑),6m,291,-0.0691,0.0061,1.3534,0.4227,3.1643,-0.9977
E15,2026-02 AI 代理殺應用軟件(SaaSpocalypse),①池 全部觸發,12m,0,,,,,,
E15,2026-02 AI 代理殺應用軟件(SaaSpocalypse),①池 過現金流閘(D-173 口徑),12m,0,,,,,,
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",①池 全部觸發,3m,1238,0.0261,0.1057,1.0517,0.546,4.9593,-0.8048
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",①池 過現金流閘(D-173 口徑),3m,940,0.0136,0.0533,0.8203,0.5245,3.8158,-0.8048
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",①池 全部觸發,6m,1238,-0.0034,0.147,1.515,0.4984,17.7525,-0.8405
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",①池 過現金流閘(D-173 口徑),6m,940,-0.0294,0.0537,1.1179,0.4681,6.8291,-0.8314
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",①池 全部觸發,12m,1238,0.2725,0.6534,2.7956,0.7569,24.3227,-0.9034
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",①池 過現金流閘(D-173 口徑),12m,940,0.2516,0.448,1.8194,0.7564,11.7057,-0.7033
ALL,全期基線,①池 全期全部觸發,3m,22986,-0.0452,0.0489,1.2493,0.4257,397.8809,-0.9985
ALL,全期基線,①池 全期過現金流閘,3m,11445,-0.0129,0.0901,1.1152,0.4739,397.8809,-0.9985
ALL,全期基線,①池 全期全部觸發,6m,21902,-0.0995,0.0621,1.7855,0.387,580.2213,-0.9999
ALL,全期基線,①池 全期過現金流閘,6m,10867,-0.0466,0.1083,1.539,0.4346,580.2213,-0.9999
ALL,全期基線,①池 全期全部觸發,12m,20302,-0.1671,0.0896,2.4254,0.3682,858.5431,-1.0
ALL,全期基線,①池 全期過現金流閘,12m,10141,-0.0707,0.1667,2.1649,0.4256,858.5431,-1.0
