口徑,特徵,欄名,可用成員,參與事件,事件內AUC加權,事件內AUC逐宗大於半數比例,事件內等級相關均值,高分位減低分位中位超額,判詞
新聞點名／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,171,12,0.5183,0.667,0.1059,-0.0025,分不開
新聞點名／衝擊低點,市值(對數),f_log_mcap,131,12,0.4689,0.583,0.1481,0.0635,分不開
新聞點名／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,68,9,0.3008,0.125,-0.1455,-0.1422,"分得開,方向在事件之間一致"
新聞點名／衝擊低點,總債務÷總資產,f_debt_to_assets,93,11,0.5369,0.364,-0.0223,0.044,分不開
新聞點名／衝擊低點,總負債÷總資產,f_liab_to_assets,124,10,0.5932,0.5,-0.0621,0.0072,整體有訊號但事件之間方向不一致(當分不開)
新聞點名／衝擊低點,四季經營現金流為正(1/0),f_ocf_positive,144,11,0.5343,0.571,-0.0151,,分不開
新聞點名／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,124,9,0.6135,0.778,0.1019,0.0941,"分得開,方向在事件之間一致"
新聞點名／衝擊低點,淨利率,f_ni_margin,149,12,0.5526,0.667,0.0795,-0.0261,整體有訊號但事件之間方向不一致(當分不開)
新聞點名／衝擊低點,市銷率 P/S,f_ps,117,12,0.5463,0.417,-0.0167,0.0232,分不開
新聞點名／衝擊低點,市帳率 P/B,f_pb,126,12,0.5377,0.5,-0.0739,0.0869,分不開
新聞點名／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,107,10,0.6201,0.778,0.2053,0.1841,"分得開,方向在事件之間一致"
新聞點名／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,147,12,0.4244,0.167,-0.2241,-0.0922,"分得開,方向在事件之間一致"
新聞點名／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,150,12,0.5123,0.583,0.0455,-0.0261,分不開
新聞點名／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,171,12,0.5309,0.583,0.1918,0.0477,分不開
新聞點名／衝擊結束日(新聞),市值(對數),f_log_mcap,131,12,0.5048,0.667,0.2035,0.1067,分不開
新聞點名／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,68,9,0.2339,0.125,-0.1647,-0.1825,"分得開,方向在事件之間一致"
新聞點名／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,93,11,0.5317,0.455,-0.0752,0.0077,分不開
新聞點名／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,124,10,0.5864,0.6,-0.0713,0.0268,整體有訊號但事件之間方向不一致(當分不開)
新聞點名／衝擊結束日(新聞),四季經營現金流為正(1/0),f_ocf_positive,144,11,0.5637,0.714,0.0339,,"分得開,方向在事件之間一致"
新聞點名／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,124,9,0.5944,0.778,0.0985,0.1085,"分得開,方向在事件之間一致"
新聞點名／衝擊結束日(新聞),淨利率,f_ni_margin,149,12,0.548,0.667,0.117,0.0657,分不開
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,117,12,0.5107,0.417,-0.0207,-0.0156,分不開
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,126,12,0.5065,0.5,-0.0784,0.021,分不開
新聞點名／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,107,10,0.5939,0.667,0.183,0.1667,整體有訊號但事件之間方向不一致(當分不開)
新聞點名／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,147,12,0.4102,0.167,-0.2314,-0.0702,"分得開,方向在事件之間一致"
新聞點名／衝擊結束日(新聞),過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,150,12,0.5431,0.667,0.0896,0.0433,分不開
同SIC全體／衝擊低點,衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,3420,14,0.5356,0.5,0.0218,0.0633,分不開
同SIC全體／衝擊低點,市值(對數),f_log_mcap,2581,14,0.5391,0.714,-0.031,0.0566,分不開
同SIC全體／衝擊低點,淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,1141,14,0.4689,0.357,-0.0847,-0.0364,分不開
同SIC全體／衝擊低點,總債務÷總資產,f_debt_to_assets,1308,14,0.5346,0.5,0.0508,0.0189,分不開
同SIC全體／衝擊低點,總負債÷總資產,f_liab_to_assets,2395,14,0.535,0.5,0.026,0.0379,分不開
同SIC全體／衝擊低點,四季經營現金流為正(1/0),f_ocf_positive,2555,14,0.5703,0.786,0.1334,,"分得開,方向在事件之間一致"
同SIC全體／衝擊低點,經營現金流利潤率(定價力代理),f_ocf_margin,2255,14,0.6069,0.786,0.0994,0.1798,"分得開,方向在事件之間一致"
同SIC全體／衝擊低點,淨利率,f_ni_margin,2475,14,0.6005,0.714,0.1309,0.1517,"分得開,方向在事件之間一致"
同SIC全體／衝擊低點,市銷率 P/S,f_ps,2190,14,0.404,0.143,-0.261,-0.1576,"分得開,方向在事件之間一致"
同SIC全體／衝擊低點,市帳率 P/B,f_pb,2411,14,0.4182,0.143,-0.1979,-0.103,"分得開,方向在事件之間一致"
同SIC全體／衝擊低點,市盈率 P/E(只在盈利為正時算得出),f_pe,1521,14,0.4546,0.357,-0.0516,-0.0134,分不開
同SIC全體／衝擊低點,營收按年增長(TTM 對 TTM),f_rev_growth_yoy,2424,14,0.4782,0.643,-0.0352,-0.0432,分不開
同SIC全體／衝擊低點,過去八格營收變異係數(經常性收入的反向代理),f_rev_cv8,2444,14,0.4492,0.214,-0.1041,-0.0734,"分得開,方向在事件之間一致"
同SIC全體／衝擊結束日(新聞),衝擊期自身相對大市跌幅(越負跌越深),f_shock_rel_drop,3420,14,0.5623,0.571,0.0671,0.1068,整體有訊號但事件之間方向不一致(當分不開)
同SIC全體／衝擊結束日(新聞),市值(對數),f_log_mcap,2581,14,0.5357,0.571,-0.0384,0.0521,分不開
同SIC全體／衝擊結束日(新聞),淨現金(現金−總債務)÷市值,f_net_cash_over_mcap,1141,14,0.4556,0.357,-0.0898,-0.0526,分不開
同SIC全體／衝擊結束日(新聞),總債務÷總資產,f_debt_to_assets,1308,14,0.5272,0.5,0.036,0.02,分不開
同SIC全體／衝擊結束日(新聞),總負債÷總資產,f_liab_to_assets,2395,14,0.52,0.429,0.0024,0.0119,分不開
同SIC全體／衝擊結束日(新聞),四季經營現金流為正(1/0),f_ocf_positive,2555,14,0.5757,0.786,0.1377,,"分得開,方向在事件之間一致"
同SIC全體／衝擊結束日(新聞),經營現金流利潤率(定價力代理),f_ocf_margin,2255,14,0.6159,0.786,0.0988,0.1753,"分得開,方向在事件之間一致"
同SIC全體／衝擊結束日(新聞),淨利率,f_ni_margin,2475,14,0.6171,0.786,0.1389,0.1622,"分得開,方向在事件之間一致"
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,2190,14,0.4003,0.143,-0.2599,-0.15,"分得開,方向在事件之間一致"
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,2411,14,0.4095,0.214,-0.2058,-0.1077,"分得開,方向在事件之間一致"
同SIC全體／衝擊結束日(新聞),市盈率 P/E(只在盈利為正時算得出),f_pe,1521,14,0.4518,0.286,-0.0372,-0.0341,分不開
同SIC全體／衝擊結束日(新聞),營收按年增長(TTM 對 TTM),f_rev_growth_yoy,2424,14,0.467,0.5,-0.0409,-0.0489,分不開
