threshold,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
16.0,1.0,monthly,cadence=monthly,0.0068064510125223,孤峰,孤峰,,7,-0.006049994473614,0.012856445486136299,3,-0.0016835568494123,0.0084900078619346,-0.0104164320978157,0.0087328752484034,269
16.0,0.75,monthly,cadence=monthly,0.0042211512935927,普通,普通,,11,-0.004893594518448609,0.00911474581204131,5,-0.0017860105248797165,0.006007161818472416,-0.0080011785120175,0.0062151679871377844,560
16.0,0.5,monthly,cadence=monthly,0.0011083294468527,普通,普通,,7,-0.00363262606434825,0.00474095551120095,3,-0.0018022101889457,0.0029105396357984002,-0.0054630419397508,0.0036608317508050998,560
25.0,1.0,monthly,cadence=monthly,-0.0005465888120934,孤峰,孤峰,,7,-0.018162185659724862,0.017615596847631462,3,-0.0112873612437336,0.0107407724316402,-0.025037010075716123,0.013749648831982523,132
16.0,0.5,quarterly,cadence=quarterly,-0.0009031940808506,普通,普通,,7,-0.00363262606434825,0.00272943198349765,3,-0.0054630419397508,0.0045598478589002,-0.0018022101889457,-0.0036608317508050998,188
25.0,0.75,monthly,cadence=monthly,-0.0012271704340718,普通,普通,,11,-0.014401394820834267,0.013174224386762466,5,-0.009408109960726782,0.008180939526654982,-0.01939467968094175,0.009986569720214966,560
25.0,0.5,monthly,cadence=monthly,-0.0025054962628219,普通,普通,,7,-0.01053243251862665,0.00802693625580475,3,-0.0074387619746771995,0.0049332657118553,-0.0136261030625761,0.0061873410878989,560
16.0,0.75,quarterly,cadence=quarterly,-0.0036737922159915,普通,普通,,11,-0.004893594518448609,0.0012198023024571091,5,-0.0080011785120175,0.004327386296026001,-0.0017860105248797165,-0.0062151679871377844,188
20.0,0.5,quarterly,cadence=quarterly,-0.0049523151277381,普通,孤峰,是,11,-0.009778344655510826,0.004826029527772726,5,-0.010481343257028401,0.005529028129290301,-0.00907534605399325,-0.0014059972030351503,188
18.0,0.5,monthly,cadence=monthly,-0.0050901651984818,普通,普通,,11,-0.005164136216737741,7.397101825594096e-05,5,-0.0038500357302831668,-0.0012401294681986335,-0.006478236703192316,0.0026282009729091493,560
18.0,0.5,quarterly,cadence=quarterly,-0.0054381485999916,普通,普通,,11,-0.005164136216737741,-0.0002740123832538589,5,-0.006478236703192316,0.001040088103200716,-0.0038500357302831668,-0.0026282009729091493,188
20.0,0.5,monthly,cadence=monthly,-0.006078955886924,普通,普通,,11,-0.009778344655510826,0.0036993887685868258,5,-0.00907534605399325,0.0029963901670692506,-0.010481343257028401,0.0014059972030351503,560
16.0,1.0,quarterly,cadence=quarterly,-0.0071449305213553,普通,普通,,7,-0.006049994473614,-0.0010949360477413,3,-0.0104164320978157,0.0032715015764604,-0.0016835568494123,-0.0087328752484034,101
18.0,0.75,monthly,cadence=monthly,-0.0074481562977464,普通,普通,,17,-0.006978646069062828,-0.00046951022868357145,8,-0.004517091568374833,-0.0029310647293715663,-0.009440200569750822,0.004923109001375989,560
25.0,0.5,quarterly,cadence=quarterly,-0.0080753847758416,普通,孤峰,是,7,-0.01053243251862665,0.002457047742785049,3,-0.0136261030625761,0.005550718286734499,-0.0074387619746771995,-0.0061873410878989,188
22.0,0.5,quarterly,cadence=quarterly,-0.0081446530069444,普通,普通,,11,-0.009764007186256675,0.001619354179312275,5,-0.011920277451742517,0.0037756244447981167,-0.007607736920770832,-0.004312540530971684,188
