lookback_months,fallback,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
12,equal,quarterly,-0.005650159255029541,102,普通,11,11,0.0006163219496350311,0.0011860020591499922,-0.006266481204664572,-9.167545076685018,False
13,cash,monthly,0.005875999347612293,267,普通,11,11,-0.00010100244574190453,-0.0006443662451377407,0.0059770017933541975,,False
13,cash,quarterly,0.007304736018941327,99,普通,11,11,-0.00010100244574190453,-0.0007742513970767438,0.007405738464683231,,False
13,equal,monthly,-0.004803484659604784,284,普通,11,11,-0.00010100244574190453,0.00032649593733653906,-0.00470248221386288,,False
13,equal,quarterly,-0.008268037540447803,115,普通,11,11,-0.00010100244574190453,0.0006414552901404499,-0.008167035094705899,,False
14,cash,monthly,-0.0026738565393125135,263,普通,11,11,-0.0010702770084469921,-0.0009244970510955811,-0.0016035795308655214,,False
14,cash,quarterly,0.004409444156854736,99,普通,11,11,-0.0010702770084469921,-0.0015684334780198767,0.005479721165301728,,False
14,equal,monthly,-0.0048754785985025695,279,普通,11,11,-0.0010702770084469921,-0.0007243495911692124,-0.0038052015900555776,,False
14,equal,quarterly,-0.005603791187307472,111,普通,11,11,-0.0010702770084469921,-0.0006581393558233122,-0.00453351417886048,,False
15,cash,monthly,0.001181964936006974,260,普通,7,7,-0.0016190671584831173,-0.0020192146005531303,0.0028010320944900913,,False
15,cash,quarterly,-0.00660256904280887,99,普通,7,7,-0.0016190671584831173,-0.0009071383178651526,-0.004983501884325753,,False
15,equal,monthly,0.002062754571078518,288,普通,7,7,-0.0016190671584831173,-0.0021450416912776366,0.003681821729561635,,False
15,equal,quarterly,-0.0008510055638737413,103,普通,7,7,-0.0016190671584831173,-0.001728790243427314,0.0007680615946093761,,False
