lookback_months,fallback,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
1,cash,monthly,2.575981825767724,0.11590772556831297,-0.34192191683035866,0.6559139784946236,1.0865242657826206,0.6020879610813752,59.98924731182796,6.490605125690081,-0.07376197412886576,-0.02261196892796624,run-8848509a60a02f74,409,279,2929,2015-01-02,2026-08-26,False,0.2662
1,cash,quarterly,2.245577268983142,0.10663559523478572,-0.394705110564868,0.711340206185567,1.4341683316498524,0.5367251546470825,131.94845360824743,2.1582360144889114,-0.08303410446239301,-0.03188409926149349,run-b599f46e125fce0f,143,97,2929,2015-01-02,2026-08-26,False,0.2183
1,equal,monthly,3.2764951897581236,0.13322187630331994,-0.34192191683035866,0.6666666666666666,1.1772876013319795,0.7280658776583576,65.11746031746031,6.365373207765606,-0.05644782339385879,-0.005297818192959269,run-008d1aec07096dfc,440,315,2929,2015-01-02,2026-08-26,False,0.2425
1,equal,quarterly,2.555272716811462,0.11535005733902426,-0.394705110564868,0.7431192660550459,1.2756978171975721,0.5952074139336225,147.5321100917431,2.188706336963893,-0.07431964235815447,-0.023169637157254952,run-5f9f9dd3b8f47100,154,109,2929,2015-01-02,2026-08-26,False,0.1854
2,cash,monthly,2.9094807220021077,0.12450416415015697,-0.33554792602880024,0.6853932584269663,1.272501566515999,0.6680884888335102,72.79026217228464,5.360714646647398,-0.06516553554702176,-0.01401553034612224,run-45c279028600ba22,364,267,2929,2015-01-02,2026-08-26,False,0.2292
2,cash,quarterly,3.13736028201356,0.1300005326535334,-0.3672955789468003,0.78,1.0258339741801552,0.7252831899520523,148.2,1.9353642013683068,-0.05966916704364533,-0.008519161842745815,run-4cad5ff3068f69b0,143,100,2929,2015-01-02,2026-08-26,False,0.191
2,equal,monthly,2.880503738226689,0.12378438362615207,-0.3355479260288001,0.7003484320557491,1.148146421043585,0.6538769104940211,72.39024390243902,5.545255821689481,-0.06588531607102666,-0.014735310870127138,run-96f7b832fbb6901c,391,287,2929,2015-01-02,2026-08-26,False,0.2267
2,equal,quarterly,3.12046454116254,0.1296026327642843,-0.3672955789468003,0.7788461538461539,1.0284738782358744,0.7168951406053325,152.59615384615384,1.9013520672842263,-0.06006706693289443,-0.008917061731994913,run-a8942a09c4bd012f,146,104,2929,2015-01-02,2026-08-26,False,0.1853
3,cash,monthly,4.168638198985029,0.1518531814893822,-0.3356840574848031,0.744,1.5253552175834668,0.8986324437411527,87.768,3.4099144503332868,-0.03781651820779652,0.013333486993102994,run-f0b00ea7430f9435,316,250,2929,2015-01-02,2026-08-26,False,0.2372
3,cash,quarterly,3.9679439264502507,0.1479338061727875,-0.3672955789468003,0.7790697674418605,1.173114353904879,0.8684165469451453,132.01162790697674,2.0959501615136285,-0.04173589352439122,0.009414111676508297,run-c0c8796be12bc6a5,130,86,2929,2015-01-02,2026-08-26,False,0.2239
3,equal,monthly,4.759481134575327,0.16263349371735103,-0.3356840574848031,0.75177304964539,1.5514656099575304,0.9688852584609654,88.68439716312056,3.5344927913347,-0.0270362059798277,0.02411379922107182,run-95f18ea8e0fe2e05,353,282,2929,2015-01-02,2026-08-26,False,0.2221
3,equal,quarterly,3.949444738110743,0.14756528500915,-0.3672955789468003,0.7755102040816326,1.1697434267228497,0.8406116977541018,142.0204081632653,2.062195422196143,-0.042104414688028724,0.009045590512870794,run-ce3e16157fe92b7a,141,98,2929,2015-01-02,2026-08-26,False,0.1796
4,cash,monthly,4.5485539125687255,0.15890613612759874,-0.33922436125054545,0.6995884773662552,1.825863219882967,0.9233856340496314,92.5679012345679,3.2946296806812168,-0.030763563569579988,0.02038644163131953,run-4871942d40cfd98a,307,243,2929,2015-01-02,2026-08-26,False,0.2323
4,cash,quarterly,3.895856641460578,0.14649061027699295,-0.367336500051348,0.776595744680851,1.3205290194766113,0.8335758581377901,152.3404255319149,2.04326400288666,-0.04317908942018578,0.007970915780713739,run-20db74bf1d0da8df,131,94,2929,2015-01-02,2026-08-26,False,0.1815
4,equal,monthly,4.5214793379304306,0.15841834949416378,-0.33922436125054545,0.6862745098039216,1.8042892828360906,0.9115053834912235,90.48235294117647,3.397964290968408,-0.03125135020301495,0.01989865499788457,run-0892407ca6f0a09d,323,255,2929,2015-01-02,2026-08-26,False,0.2169
4,equal,quarterly,3.6243605263909426,0.14087497728097564,-0.367336500051348,0.7448979591836735,1.3815782981780211,0.7783931966174324,153.78571428571428,2.0694658755295983,-0.048794722416203085,0.002355282784696433,run-1b785a7bb38d0cdb,136,98,2929,2015-01-02,2026-08-26,False,0.3155
5,cash,monthly,3.954503892748156,0.14766619300307826,-0.35908346517494494,0.723404255319149,1.487158730973552,0.8333754394012953,98.93191489361702,3.311163250551976,-0.04200350669410047,0.00914649850679905,run-b4bdded5266151ed,293,235,2929,2015-01-02,2026-08-26,False,0.266
5,cash,quarterly,3.4034216193988165,0.13607807622139112,-0.3672961577475289,0.7634408602150538,1.3862847865442862,0.7531947514180805,165.36559139784947,1.597064786639036,-0.05359162347578761,-0.002441618274888091,run-61dcb47a08fcaee4,128,93,2929,2015-01-02,2026-08-26,False,0.1864
5,equal,monthly,3.8931667337181084,0.1464363830089055,-0.35908346517494494,0.7051792828685259,1.5336229836093218,0.8148808577116565,98.50996015936255,3.339749289678676,-0.04323331668827324,0.00791668851262628,run-17223636ff296aad,310,251,2929,2015-01-02,2026-08-26,False,0.2675
5,equal,quarterly,3.1564284737597923,0.1304478145867558,-0.3672961577475289,0.7326732673267327,1.4502210096291552,0.6956644602793947,170.9108910891089,1.656469504595523,-0.05922188511042292,-0.008071879909523405,run-aad9389a31c709e9,138,101,2929,2015-01-02,2026-08-26,False,0.1925
6,cash,monthly,5.515239338435411,0.17503657418471952,-0.21196958855057013,0.7544642857142857,1.5708140322891138,1.2029402845911759,100.86607142857143,3.222170191930685,-0.01463312551245921,0.03651687968844031,run-156426b0527765c2,275,224,2929,2015-01-02,2026-08-26,True,0.0257
6,cash,quarterly,2.771910283552542,0.12104251617602624,-0.36729615774745317,0.7625,1.382177627926349,0.6301089952685256,145.125,1.7503977804156876,-0.06862718352115249,-0.017477178320252973,run-93ab0d7952332e3c,114,80,2929,2015-01-02,2026-08-26,False,0.2321
6,equal,monthly,3.7019102656337814,0.1425091226861923,-0.34995451985121273,0.7016129032258065,1.4538237391375337,0.7902382637926257,97.00403225806451,3.3457883153227006,-0.047160577010986415,0.003989428189913102,run-57e3890c6062d597,305,248,2929,2015-01-02,2026-08-26,False,0.2506
6,equal,quarterly,2.5457312497488958,0.11509211888249427,-0.36729615774745317,0.75,1.2756039854257843,0.5692953081128278,167.65217391304347,1.7653027711184877,-0.07457758081468446,-0.023427575613784946,run-79286faef4141c56,127,92,2929,2015-01-02,2026-08-26,False,0.1741
7,cash,monthly,5.8579411024742365,0.1802322971303525,-0.1886176257154657,0.7557603686635944,2.174981651490234,1.2633602158422144,110.17972350230414,2.5050759019285342,-0.009437402566826236,0.04171260263407328,run-587ac813cd9de43b,259,217,2929,2015-01-02,2026-08-26,False,0.2331
7,cash,quarterly,3.4015925687684296,0.13603745475917828,-0.3672961577474533,0.7763157894736842,1.204618437102896,0.748565460596959,145.39473684210526,1.7046161845024617,-0.05363224493800045,-0.002482239737100933,run-b2667ee5b092fde2,106,76,2929,2015-01-02,2026-08-26,False,0.1824
7,equal,monthly,4.059293820599928,0.14973539480832732,-0.34995451982719206,0.7142857142857143,1.531038178346268,0.8503565762443952,107.28571428571429,2.6684172031333735,-0.03993430488885141,0.011215700312048105,run-908925e01068d467,293,245,2929,2015-01-02,2026-08-26,False,0.2325
7,equal,quarterly,3.1376344424364824,0.1300069769629819,-0.3672961577474533,0.7727272727272727,1.1004688687995672,0.6840495321584315,161.0,1.7242753756835816,-0.059662722734196816,-0.008512717533297298,run-513445f1606d556f,119,88,2929,2015-01-02,2026-08-26,False,0.2008
8,cash,monthly,5.129367418416508,0.16887852626293065,-0.30470936142533156,0.7318181818181818,2.3533566180452152,1.0210261950891044,117.99545454545455,2.2021809427658474,-0.020791173434248078,0.03035883176665144,run-d36bfd62a1439092,257,220,2929,2015-01-02,2026-08-26,False,0.2172
8,cash,quarterly,4.498590449073056,0.1580042656846521,-0.3405671720244525,0.7721518987341772,3.038015023395496,0.9489456122979524,159.873417721519,1.4594734293492337,-0.03166543401252664,0.01948457118837288,run-3c24f3ad164c9f87,106,79,2929,2015-01-02,2026-08-26,False,0.1785
8,equal,monthly,4.5832204719013765,0.1595275370337168,-0.34203825792503184,0.7008196721311475,2.1035662962941397,0.9181624206142589,118.09836065573771,2.3805819951964406,-0.030142162663461924,0.021007842537437593,run-670e1779a502821a,287,244,2929,2015-01-02,2026-08-26,False,0.2461
8,equal,quarterly,3.6590596559530892,0.1416092372156812,-0.3405671720244525,0.735632183908046,1.9362117216891799,0.7867864703557484,168.80459770114942,1.4824816159480916,-0.048060462481497535,0.003089542719401983,run-251583318d888fef,115,87,2929,2015-01-02,2026-08-26,False,0.1938
9,cash,monthly,5.006109717101676,0.16683668775617,-0.33947641643527904,0.7136363636363636,3.095113251289733,0.9896714288282603,128.50454545454545,2.3396881124071123,-0.02283301194100873,0.028316993259890788,run-6c27312351253ade,257,220,2929,2015-01-02,2026-08-26,False,0.3738
9,cash,quarterly,4.654651595301905,0.16079690456484297,-0.3405671720244525,0.759493670886076,4.232532228982824,0.9629543137756518,163.86075949367088,1.4423889709754603,-0.02887279513233576,0.022277210068563758,run-b958210d28115578,104,79,2929,2015-01-02,2026-08-26,False,0.1892
9,equal,monthly,4.061690233551821,0.14978225511660415,-0.33947641643527904,0.6475409836065574,2.46446844471069,0.8338618083838155,125.75409836065573,2.451103037353224,-0.03988744458057458,0.011262560620324935,run-020c2c8c17bb7f9c,284,244,2929,2015-01-02,2026-08-26,False,0.2268
9,equal,quarterly,3.528345947510462,0.13881667555773447,-0.3405671720244525,0.7032967032967034,2.3809713150180363,0.7485908623426153,173.05494505494505,1.4437333632587224,-0.05085302413944426,0.00029698106145525927,run-54fbac5fb52eb9cd,116,91,2929,2015-01-02,2026-08-26,False,0.1991
10,cash,monthly,4.248553133502102,0.15337523245895168,-0.3355479107872066,0.7457627118644068,2.2776796796940033,0.8911508600017127,128.66101694915255,2.21724889064498,-0.036294467238227046,0.014855537962672472,run-2da57dbf2bce31cc,271,236,2929,2015-01-02,2026-08-26,False,0.2196
10,cash,quarterly,4.532357550952237,0.1586145979843363,-0.3405671720244524,0.7530864197530864,3.2079541851860123,0.9389840664824245,177.66666666666666,1.452892627672513,-0.031055101712842426,0.020094903488057092,run-a757b6df3f896f43,106,81,2929,2015-01-02,2026-08-26,False,0.1779
10,equal,monthly,3.8867986296131773,0.14630789636491204,-0.3355479107872066,0.71875,2.070657775772664,0.8181430886916513,121.91796875,2.3754498722644377,-0.04336180333226669,0.007788201868632827,run-7d69c342eaf284a3,297,256,2929,2015-01-02,2026-08-26,False,0.2134
10,equal,quarterly,3.687668198848683,0.14221086633340385,-0.3405671720244524,0.7191011235955056,2.1503715462634148,0.7799863453226188,184.7865168539326,1.4842434369983295,-0.04745883336377488,0.0036911718371246405,run-67432e90583719f5,115,89,2929,2015-01-02,2026-08-26,False,0.1971
11,cash,monthly,3.616258169464378,0.14070280026448612,-0.33885579124245524,0.7161016949152542,2.2058976037265094,0.7688487064015023,129.49576271186442,1.9068234380881937,-0.04896689943269261,0.0021831057682069055,run-3d976b09fc0b6b6f,269,236,2929,2015-01-02,2026-08-26,False,0.2261
