名稱,類別,參數,成本,成本前annual_excess:SPY,成本後annual_excess:SPY,成本代價,成本前換手,成本後換手,成本前年化,成本後年化,成本前最大回撤,成本後最大回撤,成本前裁決,成本後裁決,成本前run_id,成本後run_id,備註
相對強弱對 SPY·加密最優,加密最優,lookback_months=7、fallback=cash、cadence=monthly,每股0.005+滑點5bp,0.044928295742200586,0.041712417941550006,-0.0032158778006505795,2.5061910629898962,2.505075703926001,0.18344798062432033,0.18023210282366975,-0.1876792275265946,-0.18861769970656583,孤峰,孤峰,run-11f822ff5102d5ac,run-f09de92f37689030,
相對強弱對 SPY·加密鄰域最高,加密鄰域最高,lookback_months=9、fallback=cash、cadence=monthly,每股0.005+滑點5bp,0.03130109754288979,0.028317063870953563,-0.002984033671936226,2.340958641882857,2.3396880424687767,0.16982078242500953,0.1668367487530733,-0.33910183690425144,-0.33947624884388305,普通,普通,run-c976fccde0e65c92,run-550d4d4ca24ab88a,
相對強弱對 SPY·成本後最優,成本後最優,lookback_months=7、fallback=cash、cadence=monthly,每股0.005+滑點5bp,0.044928295742200586,0.041712417941550006,-0.0032158778006505795,2.5061910629898962,2.505075703926001,0.18344798062432033,0.18023210282366975,-0.1876792275265946,-0.18861769970656583,孤峰,孤峰,run-11f822ff5102d5ac,run-f09de92f37689030,
