ticker,name,mode,price,shares,net_cash_musd,mcap_musd,ev_musd,ev_sales,wacc,de,net_cash_flag,r0,r_base2,r_narr2,r_part2,damage_pct,exit_mult,v_full,v_part,premium_vs_full,premium_vs_part,dmg_npv_share_lo,dmg_npv_share_hi,dmg_pct_of_price_lo,dmg_pct_of_price_hi,rev_required,cagr_required,ret_full,ret_part,ret_third
ASAN,Asana,按席位(壓倒性),8.79,237.1,428.0,2084.1,1656.1,2.1,0.1,0.0,1,790.0,921.5,750.0,835.7,-0.1861,1.5,6.55,7.09,0.342,0.2393,-2.73,-5.45,-0.31,-0.6201,1104.0,0.1822,-0.2548,-0.1931,-0.0966
NOW,ServiceNow,混合(88.5% 按用戶 + 11.5% 按訂閱單位),134.21,1040.0,8186.0,139578.4,131392.4,10.37,0.1,0.0,1,12667.0,18392.8,14500.0,16446.4,-0.2116,6.0,91.53,102.75,0.4664,0.3061,-14.05,-28.1,-0.1047,-0.2094,21898.7,0.3148,-0.318,-0.2344,-0.1172
BILL,BILL Holdings,按交易量與交易金額(ad valorem),47.6,100.157,427.9,4767.5,4339.6,2.94,0.1,0.0,1,1477.5,1920.2,1540.0,1730.1,-0.198,2.5,42.71,47.46,0.1144,0.003,-14.28,-28.56,-0.3,-0.6,1735.8,0.0839,-0.1027,-0.003,-0.0015
QTWO,Q2 Holdings,按方案數 × 存戶數 × 交易筆數,60.38,62.53,74.8,3775.6,3700.8,4.68,0.1,0.0,1,791.0,1019.0,840.0,929.5,-0.1757,3.5,48.21,53.22,0.2523,0.1345,-10.77,-21.54,-0.1783,-0.3567,1057.4,0.1562,-0.2015,-0.1185,-0.0593
SNOW,Snowflake,按用量(運算與儲存 credits),335.5,342.2,2090.0,114808.1,112718.1,24.53,0.1,0.0,1,4596.0,7648.2,5973.0,6810.6,-0.219,8.0,145.75,165.33,1.302,1.0293,-18.31,-36.63,-0.0546,-0.1092,14089.8,0.7509,-0.5656,-0.5072,-0.2536
