entity_id,name,entity_type,sic,sic_description,first_filing_date,last_filing_date
0001267332,MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003-1,operating,6189,Asset-Backed Securities,2003-10-16,2026-06-22
0001283337,STRUCTURED PRODUCTS CORP CRED ENHANCE CORTS TR FOR AON CAP A,operating,6189,Asset-Backed Securities,2004-03-11,2026-07-15
0001283464,STRUCTURED PRODUCTS CORP CORTS TR FOR PECO ENERGY CAP TR III,operating,6189,Asset-Backed Securities,2004-03-12,2026-05-14
0001284143,LEHMAN ABS CORP GOLDMAN SACHS CAP 1 SEC BACKED SER 2004-6,operating,6189,Asset-Backed Securities,2004-03-18,2026-08-28
0001286405,STRATS SM TRUST FOR U S CELL CORP SEC SERIES 2004 6,operating,6189,Asset-Backed Securities,2004-04-07,2026-06-30
0001294808,PPLUS Trust Series GSC-2,operating,6189,Asset-Backed Securities,2004-06-21,2026-08-17
0001340909,"STRATS SM TRUST FOR WAL-MART STORES, INC. SECURITIES, SERIES 2005-4",operating,6189,Asset-Backed Securities,2005-10-06,2026-08-28
0001343491,"STRATS(SM) TRUST FOR DOMINION RESOURCES, INC. SECURITIES, SERIES 2005-6",operating,6189,Asset-Backed Securities,2005-11-03,2026-08-28
0001353226,"STRATS(SM) Trust for Procter & Gamble Securities, Series 2006-1",operating,6189,Asset-Backed Securities,2006-02-13,2026-08-28
0001356284,"STRATS(SM) Trust for Goldman Sachs Group Securities, Series 2006-2",operating,6189,Asset-Backed Securities,2006-03-15,2026-08-28
0001357660,"STRATS(SM) Trust for Allstate Corp Securities, Series 2006-3",operating,6189,Asset-Backed Securities,2006-03-28,2026-09-02
