entity_id,name,entity_type,sic,sic_description,first_filing_date,last_filing_date
0000839533,DWS MUNICIPAL INCOME TRUST,investment,,,1995-01-26,2026-08-17
0001031235,"Global Self Storage, Inc.",investment,6798,Real Estate Investment Trusts,1997-01-23,2026-08-26
0001067839,"INVESCO QQQ TRUST, SERIES 1",investment,,,1998-08-07,2026-08-28
0001199004,Federated Hermes Premier Municipal Income Fund,investment,,,2002-10-17,2026-08-27
0001210123,ALLSPRING INCOME OPPORTUNITIES FUND,investment,,,2002-12-18,2026-08-24
0001227073,ALLSPRING MULTI-SECTOR INCOME FUND,investment,,,2003-04-16,2026-08-24
0001279014,ALLSPRING UTILITIES & HIGH INCOME FUND,investment,,,2004-02-09,2026-08-24
0001622148,HIGHLAND GLOBAL ALLOCATION FUND,investment,,,2015-03-06,2026-09-02
0001710680,HIGHLAND OPPORTUNITIES & INCOME FUND,investment,,,2017-06-30,2026-09-02
