weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
0.0,0.0,0.0,1.0,monthly,2.1062711806858756,0.10246513401736435,-0.33098894490994046,,,0.6087963815144052,,0.02299737927967818,-0.08720456567981438,-0.036054560478914865,run-780af93b496a9520,1,0,2929,2015-01-02,2026-08-26,False,3.6523
0.0,0.0,0.0,1.0,quarterly,2.1062711806858756,0.10246513401736435,-0.33098894490994046,,,0.6087963815144052,,0.02299737927967818,-0.08720456567981438,-0.036054560478914865,run-46ea7117bcc953e5,1,0,2929,2015-01-02,2026-08-26,False,0.1773
0.0,0.0,0.1,0.9,monthly,2.2885467197733917,0.10788899214787495,-0.33187473178997773,0.9883040935672515,183.766163587592,0.6514858007026881,1516.122807017544,0.050949982815930175,-0.08178070754930378,-0.03063070234840426,run-cb38c8ae01a7a191,280,171,2929,2015-01-02,2026-08-26,False,0.254
0.0,0.0,0.1,0.9,quarterly,2.2995722510110506,0.10820818764982443,-0.33189215751883583,0.9782608695652174,467.56033641151606,0.6544112514163053,1476.4130434782608,0.04100665455108532,-0.0814615120473543,-0.030311506846454783,run-23dfe254c3a28464,94,46,2929,2015-01-02,2026-08-26,False,0.1956
0.0,0.0,0.2,0.8,monthly,2.4763002840336434,0.11319582668386974,-0.3327597226782013,0.9875,207.46908032870172,0.6865811315585402,1550.775,0.07296344774388189,-0.07647387301330899,-0.025323867812409473,run-04f46ca28406ae27,280,160,2929,2015-01-02,2026-08-26,False,0.229
0.0,0.0,0.2,0.8,quarterly,2.4965430906149693,0.11375224521450256,-0.3327906113141301,0.9782608695652174,478.0564181338744,0.6913625475882812,1476.4130434782608,0.054993838854611725,-0.07591745448267617,-0.024767449281776655,run-8ca277d691282a28,94,46,2929,2015-01-02,2026-08-26,False,0.2208
0.0,0.0,0.3,0.7,monthly,2.6692738073525213,0.11838391439346752,-0.3336439205190377,0.9869281045751634,228.03938481986873,0.7139717187030235,1563.9019607843138,0.0888978509335687,-0.07128578530371121,-0.020135780102811696,run-5642d41d11456096,280,153,2929,2015-01-02,2026-08-26,False,0.2614
0.0,0.0,0.3,0.7,quarterly,2.696675172891366,0.11910028034017106,-0.3336843438066005,0.9782608695652174,488.46624964430157,0.7196693204526098,1476.4130434782608,0.06492179581258309,-0.07056941935700767,-0.01941941415610815,run-9deb5cfd442139b7,94,46,2929,2015-01-02,2026-08-26,False,0.2453
0.0,0.0,0.4,0.6,monthly,2.86716942735184,0.12345151118464504,-0.3345273282424146,0.9856115107913669,258.91487985032336,0.7336449237881314,1465.8920863309352,0.09861378584049725,-0.0662181885125337,-0.015068183311634176,run-850264a2ee933ed3,280,139,2929,2015-01-02,2026-08-26,False,0.2326
0.0,0.0,0.4,0.6,quarterly,2.8994230286897267,0.12425488787301786,-0.3345733921138262,0.9782608695652174,498.7708861432029,0.7395673910047602,1476.4130434782608,0.07075817523699887,-0.06541481182416087,-0.01426480662326135,run-38a33181a02af868,94,46,2929,2015-01-02,2026-08-26,False,0.2407
