weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.0,0.0,0.0,1.0,monthly,-0.33098894490994046,1,無效,3,3,,,,,False,cadence=monthly,0,,
0.0,0.0,0.0,1.0,quarterly,-0.33098894490994046,1,無效,3,3,,,,,False,cadence=quarterly,0,,
0.0,0.0,0.05,0.95,monthly,-0.33143193803353055,280,平原,6,5,-0.3324780220567705,-0.3326872388614185,0.0010460840232399682,,True,cadence=monthly,1,-0.33241978211640566,-5.8239940364857024e-05
0.0,0.0,0.05,0.95,quarterly,-0.3314411484260129,94,平原,6,5,-0.33241978211640566,-0.3326155088544842,0.0009786336903927495,,False,cadence=quarterly,1,-0.3324780220567705,5.8239940364857024e-05
0.0,0.0,0.1,0.9,monthly,-0.33187473178997773,280,平原,6,6,-0.3327078332539543,-0.3328466834979504,0.0008331014639765821,,False,cadence=monthly,1,-0.33266600780608935,-4.182544786496267e-05
0.0,0.0,0.1,0.9,quarterly,-0.33189215751883583,94,平原,6,6,-0.33266600780608935,-0.33279498285396497,0.0007738502872535191,,False,cadence=quarterly,1,-0.3327078332539543,4.182544786496267e-05
0.0,0.0,0.15,0.85,monthly,-0.3323173265486973,280,平原,6,6,-0.3331501710835186,-0.33328897850598876,0.0008328445348212976,,False,cadence=monthly,1,-0.3331154484080084,-3.472267551019037e-05
0.0,0.0,0.15,0.85,quarterly,-0.332341976914483,94,平原,6,6,-0.3331154484080084,-0.333244360323596,0.0007734714935254128,,False,cadence=quarterly,1,-0.3331501710835186,3.472267551019037e-05
0.0,0.0,0.2,0.8,monthly,-0.3327597226782013,280,平原,6,6,-0.3335923106066708,-0.33373107526141577,0.0008325879284695192,,False,cadence=monthly,1,-0.3335637033176602,-2.860728901060705e-05
0.0,0.0,0.2,0.8,quarterly,-0.3327906113141301,94,平原,6,6,-0.3335637033176602,-0.3336925519849152,0.0007730920035300959,,False,cadence=quarterly,1,-0.3335923106066708,2.860728901060705e-05
0.0,0.0,0.25,0.75,monthly,-0.3332019205460832,280,平原,6,6,-0.33403425219040145,-0.33417297413112124,0.0008323316443182294,,False,cadence=monthly,1,-0.3340107772209291,-2.3474969472359053e-05
0.0,0.0,0.25,0.75,quarterly,-0.33323806539421474,94,平原,6,6,-0.3340107772209291,-0.3341395625253815,0.0007727118267143451,,False,cadence=quarterly,1,-0.33403425219040145,2.3474969472359053e-05
0.0,0.0,0.3,0.7,monthly,-0.3336439205190377,280,平原,6,6,-0.33447599620079665,-0.33461467548108975,0.0008320756817589703,,False,cadence=monthly,1,-0.33445667477904023,-1.932142175642415e-05
0.0,0.0,0.3,0.7,quarterly,-0.3336843438066005,94,平原,6,6,-0.33445667477904023,-0.33458539660778025,0.0007723309724397276,,False,cadence=quarterly,1,-0.33447599620079665,1.932142175642415e-05
0.0,0.0,0.35,0.65,monthly,-0.33408572296285266,280,平原,6,6,-0.3349175430030394,-0.3350561796764038,0.000831820040186726,,False,cadence=monthly,1,-0.3349014006287216,-1.614237431779575e-05
0.0,0.0,0.35,0.65,quarterly,-0.3341294511787388,94,平原,6,6,-0.3349014006287216,-0.3350300588703854,0.0007719494499827673,,False,cadence=quarterly,1,-0.3349175430030394,1.614237431779575e-05
0.0,0.0,0.4,0.6,monthly,-0.3345273282424146,280,平原,6,6,-0.3353670187566485,-0.33550696717568745,0.0008396905142338817,,False,cadence=monthly,1,-0.33535469062213413,-1.2328134514349998e-05
