event_id,shock_start,dgs10_date,dgs10,dgs10_plus_500bp
E21,2016-06-23,2016-06-23,1.74,6.74
E22,2021-07-01,2021-07-01,1.48,6.48
E23,2022-06-10,2022-06-10,3.15,8.15
E24,2022-10-06,2022-10-06,3.83,8.83
E25,2023-09-14,2023-09-14,4.29,9.29
E26,2023-09-19,2023-09-19,4.37,9.370000000000001
E27,2018-01-29,2018-01-29,2.7,7.7
