cid,name,shock_start,window_end,trough,basket_rel_dd,n_named,n_usable,n_lost
C21,2018-01 亞馬遜-巴郡-JPM 健保合資殺健保與藥品分銷,2018-01-29,2018-03-29,2018-03-26,-0.0993,14,8,6
C22,2019-04 全民醫保提案恐慌殺健保股,2019-04-15,2019-07-01,2019-04-17,-0.0876,15,12,3
C24,2021-09 中國恒大違約恐慌殺在美中概與銀行,2021-09-17,2021-11-04,2021-11-04,-0.0716,16,16,0
C25,2019-08 中美關稅升級殺零售與工業,2019-07-31,2019-10-01,2019-08-15,-0.0337,15,15,0
C23,2018-08 藥品分銷商被控助長鴉片危機,2018-08-09,2018-10-02,2018-08-09,0.0,8,5,3
