cid,name,shock_start,window_end,trough,basket_rel_dd,n_named,n_usable,n_lost
C19,2020-06 疫情二次爆發殺航空郵輪(對照),2020-06-08,2020-07-30,2020-07-30,-0.3113,10,10,0
C15,2018-12 加息恐慌殺雲軟件增長股,2018-09-28,2019-01-25,2018-11-19,-0.131,14,12,2
C12,2022-10 對華晶片出口管制新規殺半導體與設備,2022-10-06,2022-11-29,2022-10-18,-0.1287,16,16,0
C11,2023-09 UAW 罷工殺汽車與零件商,2023-09-14,2023-11-29,2023-11-09,-0.1189,13,13,0
C17,2023-10 長息急升殺 REITs,2023-07-28,2023-11-17,2023-11-13,-0.1184,15,13,2
C13,2021-03 Archegos 爆倉殺投行,2021-03-25,2021-05-17,2021-04-22,-0.1013,12,11,1
C20,2022-04 上海封城殺汽車供應鏈,2022-03-31,2022-06-13,2022-04-07,-0.0785,12,12,0
C14,2015-09 柴油門殺車廠與零件,2015-09-17,2015-11-02,2015-09-23,-0.0334,12,12,0
