event_id,event,basket_kind,entity_id,ticker,name,sic,sic_description,named_confidence,f_shock_rel_drop,anchor_T_date,T_3m_excess,T_3m_status,T_6m_excess,T_6m_status,T_12m_excess,T_12m_status,anchor_N_date,N_3m_excess,N_3m_status,N_6m_excess,N_6m_status,N_12m_excess,N_12m_status,dollar_vol_60d,feat_status,mcap_oos,close_raw_i0,adj_close_i0,f_ps_oos,f_pb_oos,panel_period_end,panel_filed,panel_age_days,currency,cash,total_debt,assets,equity,mcap_usd,ttm_revenue,ttm_ocf,ttm_net_income,ttm_method_rev,f_net_cash_n2,f_net_cash_over_mcap,f_debt_to_assets,f_liab_to_assets,f_ocf_positive,f_ocf_margin,f_ni_margin,f_ps,f_pb,f_pe,f_log_mcap,f_rev_growth_yoy,f_rev_cv8
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000895421,MS,MORGAN STANLEY,6211,"Security Brokers, Dealers & Flotation Companies",A,-0.0733625635053956,2016-07-06,0.23381768947339454,已成熟,0.5600024668007464,已成熟,0.5540871347838614,已成熟,2016-06-27,0.20296999232401292,已成熟,0.5765169134623218,已成熟,0.5055913459433432,已成熟,366638682.0013046,有,52861396530.508766,27.290000915527344,20.456857681274414,1.455394855056545,0.6954531841929847,2016-03-31,2016-05-04,84.0,USD,53638000000.0,163913000000.0,807497000000.0,76010000000.0,39625431637.2248,36321000000.0,,6353000000.0,4Q,-110275000000.0,-2.782934985026278,0.20298898943277807,0.9044268895116638,,,0.17491258500591944,1.0909785423646046,0.5213186638235074,6.237278708834378,24.402736962137517,0.0322571477292104,0.09585745829055761
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000831001,C,CITIGROUP INC,6021,National Commercial Banks,A,-0.07140818099422708,2016-07-06,0.1432956688719158,已成熟,0.34708576158855386,已成熟,0.41250014744664765,已成熟,2016-06-27,0.07930629594523642,已成熟,0.3512038423864321,已成熟,0.334787130297475,已成熟,838084175.8003235,有,130486946699.55212,44.459999084472656,32.79163360595703,1.7293804977873926,0.5735135358319289,2016-03-31,2016-05-02,84.0,USD,,228728000000.0,1800967000000.0,227522000000.0,96241120887.16003,75453000000.0,,17408000000.0,4Q,,,0.12700288234043156,0.8729787941700209,,,0.23071315918518814,1.275510859570329,0.42299698880618153,5.528557036256895,25.29012255533595,-0.013608910502784566,0.04897529422711128
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000070858,BAC,BANK OF AMERICA CORP /DE/,6021,National Commercial Banks,A,-0.07902181361565741,2016-07-06,0.20277257602675447,已成熟,0.6092363713823616,已成熟,0.6427245128936558,已成熟,2016-06-27,0.1344030885476344,已成熟,0.5946960693571488,已成熟,0.5606488355540855,已成熟,1160069340.5545235,有,144217695376.27753,14.039999961853027,11.235918045043945,1.7844970164232468,0.5488236953765852,2016-03-31,2016-05-02,84.0,USD,179610000000.0,452690000000.0,2185498000000.0,262776000000.0,115414402442.71207,80817000000.0,43265000000.0,15211000000.0,YTD_diff,-273080000000.0,-2.3660825184755256,0.20713356864202118,0.8797637883905636,1.0,0.5353452862640286,0.18821535073066312,1.428095604176251,0.43921211390200043,7.5875617936172555,25.47179498776254,-0.0249267039079184,0.787191384035708
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000072971,WFC,WELLS FARGO & COMPANY/MN,6021,National Commercial Banks,A,-0.020958834550642846,2016-07-06,-0.06310168683227801,已成熟,0.09708962693330236,已成熟,0.04104380053649814,已成熟,2016-06-27,-0.07530158400548803,已成熟,0.09580254143272104,已成熟,-0.006664511801790507,已成熟,814729228.6144257,有,243241352184.71402,47.90999984741211,36.08995056152344,,1.2316267275525277,2016-03-31,2016-05-04,84.0,USD,,335591000000.0,1849182000000.0,197496000000.0,183230398723.08868,,,22781000000.0,,,,0.1814807844765956,0.8926530757924315,,,,,0.9277676445248951,8.043123599626385,25.934010207315854,,
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000036104,USB,US BANCORP \DE\,6021,National Commercial Banks,B,-0.060466365786922105,2016-07-06,0.08282543274983589,已成熟,0.20364994600235864,已成熟,0.16028298866867097,已成熟,2016-06-27,0.029556373776902678,已成熟,0.19682411928675747,已成熟,0.11287103686380084,已成熟,289636414.6507263,有,72906001658.18538,42.22999954223633,29.03831672668457,3.567353410881508,1.5593198943040398,2016-03-31,2016-05-06,84.0,USD,,58649000000.0,428638000000.0,46755000000.0,50131839696.30861,20437000000.0,8292000000.0,5834000000.0,YTD_diff,,,0.13682641296385295,0.8894335079950915,1.0,0.405734696873318,0.28546264128786025,2.4529940645059747,1.0722241406546595,8.593047599641517,24.637922166058495,0.009085073816224698,0.7944353415611044
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC.",6021,National Commercial Banks,B,-0.0790892649102698,2016-07-06,0.12065367937239024,已成熟,0.36924420508485833,已成熟,0.38032678124896324,已成熟,2016-06-27,0.058748995922769165,已成熟,0.34798730561952596,已成熟,0.30655835432207,已成熟,182822622.24884033,有,43276387371.50093,86.66999816894531,62.06452178955078,2.8548312798668074,0.958927262829624,2016-03-31,2016-05-04,84.0,USD,,,360985000000.0,45130000000.0,30990288955.076424,15159000000.0,5530000000.0,4082000000.0,YTD_diff,,,,0.8716622574345194,1.0,0.3647997889042813,0.26927897618576424,2.044349162548745,0.6866893187475388,7.591937519616958,24.156939732841884,-0.011090090677800202,0.8005746488609844
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000092230,TFC,TRUIST FINANCIAL CORP,6021,National Commercial Banks,B,-0.06227344176183225,2016-07-06,0.08859290935757791,已成熟,0.24964598597366305,已成熟,0.14184463478290366,已成熟,2016-06-27,0.036219829630954825,已成熟,0.2616047551193874,已成熟,0.10502202414395367,已成熟,159783189.78347778,有,28908904499.107803,36.95000076293945,24.405784606933594,,1.0237226707428664,2016-03-31,2016-04-29,84.0,USD,2778000000.0,26953000000.0,212405000000.0,28239000000.0,19094573257.36496,,3368000000.0,2146000000.0,,-24175000000.0,-1.2660665244600569,0.12689437630940892,0.8670511522798428,1.0,,,,0.6761773879161783,8.89775081890259,23.67267000897746,,
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000093751,STT,STATE STREET CORP,6022,State Commercial Banks,B,-0.12467748427117353,2016-07-06,0.35798518245393196,已成熟,0.4516668427650121,已成熟,0.5099683695635386,已成熟,2016-06-27,0.2905283374195897,已成熟,0.3853479766618835,已成熟,0.4617538796072389,已成熟,138560014.73026276,有,23863322122.517086,60.27000045776367,44.98973083496094,2.3306301516278043,1.1101284947207428,2016-03-31,2016-05-06,84.0,USD,,12006000000.0,243685000000.0,21496000000.0,17813247568.703415,10239000000.0,1052000000.0,1939000000.0,YTD_diff,,,0.04926852288815479,0.9116564417177914,1.0,0.10274440863365564,0.18937396230100595,1.7397448548396732,0.8286773152541596,9.186821850801142,23.60320826286393,-0.01689870379260683,0.7932062322801847
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000891478,SAN,"Banco Santander, S.A.",6029,"Commercial Banks, NEC",B,-0.20818098172511512,2016-07-06,0.18126831732950577,已成熟,0.3656690186370011,已成熟,0.6120172498793084,已成熟,2016-06-27,0.07836928254394171,已成熟,0.21358910680838328,已成熟,0.5277712434071746,已成熟,27163352.268981934,無面板,,4.800000190734863,3.416898488998413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,0000842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",6029,"Commercial Banks, NEC",B,-0.1656306219656285,2016-07-06,0.12362338426016861,已成熟,0.21214980706679087,已成熟,0.4379026445941703,已成熟,2016-06-27,0.04845219656463695,已成熟,0.13822961599297323,已成熟,0.36714103358569306,已成熟,16415302.51340866,無面板,,6.630000114440918,3.8925070762634277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
