event_id,event,籃子,口徑,窗口,n,成熟數,中位,平均,前20均,後20均,前後20差距,贏家比例,最好,最差,標準差
E24,2022-10 對華晶片出口管制新規殺半導體與設備,新聞點名,衝擊結束日(新聞),12m,27,27,0.0272,0.1581,0.8869,-0.3373,1.2242,0.5926,1.8228,-0.6176,0.4716
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊低點,3m,594,594,0.0576,0.0642,0.4572,-0.3046,0.7618,0.6111,2.3136,-0.7484,0.2983
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊低點,6m,594,594,-0.0323,-0.0214,0.5082,-0.5212,1.0293,0.4529,2.1994,-0.8729,0.3808
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊低點,12m,594,594,-0.139,-0.1177,0.5716,-0.7171,1.2887,0.3586,2.8516,-0.9968,0.4866
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊結束日(新聞),3m,594,594,0.0568,0.0635,0.4453,-0.2999,0.7452,0.6094,1.9607,-0.7712,0.2834
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊結束日(新聞),6m,594,594,-0.0405,-0.0381,0.4932,-0.5258,1.019,0.4141,2.7857,-0.8922,0.3896
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊結束日(新聞),12m,594,594,-0.1725,-0.1549,0.519,-0.7413,1.2602,0.3064,2.2611,-0.9967,0.47
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊低點,3m,20,20,-0.0068,0.0311,0.2704,-0.1115,0.3819,0.4,0.4424,-0.1453,0.1464
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊低點,6m,20,20,-0.0125,0.0319,0.4454,-0.2421,0.6875,0.4,0.9559,-0.2952,0.2809
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊低點,12m,20,20,-0.2825,-0.1676,0.5819,-0.5294,1.1113,0.2,1.0133,-0.6723,0.4243
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊結束日(新聞),3m,20,20,0.0041,0.0151,0.2716,-0.1688,0.4404,0.55,0.4997,-0.2059,0.1629
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊結束日(新聞),6m,20,20,-0.0169,-0.0099,0.3895,-0.2783,0.6678,0.45,0.9271,-0.3342,0.2819
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊結束日(新聞),12m,20,20,-0.2853,-0.1947,0.4903,-0.523,1.0133,0.2,1.1642,-0.6,0.4116
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊低點,3m,109,109,-0.0421,-0.0498,0.3526,-0.4411,0.7936,0.3578,2.0184,-0.9359,0.3374
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊低點,6m,109,109,-0.1227,-0.104,0.4507,-0.5902,1.0409,0.3119,1.4168,-0.9261,0.3967
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊低點,12m,109,109,-0.272,-0.1701,0.7419,-0.7963,1.5383,0.2661,2.8137,-0.9912,0.6166
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊結束日(新聞),3m,109,109,-0.049,-0.0547,0.3863,-0.4571,0.8435,0.3394,4.3754,-0.9382,0.4936
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊結束日(新聞),6m,109,109,-0.1641,-0.1459,0.3212,-0.6196,0.9408,0.3303,1.1731,-0.9882,0.352
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊結束日(新聞),12m,109,109,-0.2811,-0.21,0.6356,-0.801,1.4366,0.2294,2.982,-0.9905,0.5767
E26,2023-09 長息衝上 5% 殺地產信託(REITs),新聞點名,衝擊低點,3m,29,29,-0.0148,-0.0086,0.108,-0.1003,0.2083,0.3793,0.1932,-0.1371,0.0768
E26,2023-09 長息衝上 5% 殺地產信託(REITs),新聞點名,衝擊低點,6m,29,29,-0.0497,-0.0236,0.1407,-0.1521,0.2928,0.3793,0.3319,-0.214,0.1144
E26,2023-09 長息衝上 5% 殺地產信託(REITs),新聞點名,衝擊低點,12m,29,29,0.0237,0.0446,0.3713,-0.1922,0.5635,0.5517,0.7273,-0.2125,0.2191
E26,2023-09 長息衝上 5% 殺地產信託(REITs),新聞點名,衝擊結束日(新聞),3m,29,29,0.0371,0.0469,0.1799,-0.0768,0.2567,0.6207,0.2554,-0.1002,0.0946
E26,2023-09 長息衝上 5% 殺地產信託(REITs),新聞點名,衝擊結束日(新聞),6m,29,29,-0.0507,-0.0171,0.1696,-0.1478,0.3174,0.3793,0.3978,-0.201,0.1259
E26,2023-09 長息衝上 5% 殺地產信託(REITs),新聞點名,衝擊結束日(新聞),12m,29,29,0.0348,0.0916,0.4797,-0.1457,0.6254,0.5517,0.8068,-0.2238,0.2449
E26,2023-09 長息衝上 5% 殺地產信託(REITs),同SIC全體,衝擊低點,3m,239,239,-0.0605,-0.0487,0.1651,-0.2426,0.4077,0.3096,0.6492,-0.75,0.1593
E26,2023-09 長息衝上 5% 殺地產信託(REITs),同SIC全體,衝擊低點,6m,239,239,-0.0863,-0.0822,0.2076,-0.3627,0.5703,0.2887,0.7325,-0.8488,0.2136
E26,2023-09 長息衝上 5% 殺地產信託(REITs),同SIC全體,衝擊低點,12m,239,239,-0.1287,-0.1125,0.2983,-0.4963,0.7946,0.2845,1.1505,-0.9903,0.2954
E26,2023-09 長息衝上 5% 殺地產信託(REITs),同SIC全體,衝擊結束日(新聞),3m,239,239,0.0095,0.0125,0.2675,-0.2455,0.513,0.5356,0.6945,-0.8805,0.1988
E26,2023-09 長息衝上 5% 殺地產信託(REITs),同SIC全體,衝擊結束日(新聞),6m,239,239,-0.0725,-0.0752,0.188,-0.3747,0.5627,0.3473,0.6136,-0.9277,0.2109
E26,2023-09 長息衝上 5% 殺地產信託(REITs),同SIC全體,衝擊結束日(新聞),12m,239,239,-0.0606,-0.0733,0.3409,-0.4915,0.8324,0.3682,0.992,-0.9971,0.3015
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,新聞點名,衝擊低點,3m,8,8,0.0986,0.074,0.1931,-0.0809,0.274,0.875,0.2213,-0.1619,0.1157
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,新聞點名,衝擊低點,6m,8,8,0.1315,0.1369,0.4804,-0.1826,0.663,0.75,0.7118,-0.213,0.2812
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,新聞點名,衝擊低點,12m,8,8,-0.0736,-0.0151,0.3347,-0.2476,0.5823,0.375,0.6187,-0.2607,0.2802
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,新聞點名,衝擊結束日(新聞),3m,8,8,0.0857,0.0572,0.189,-0.131,0.32,0.75,0.2236,-0.2342,0.1389
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,新聞點名,衝擊結束日(新聞),6m,8,8,0.1331,0.1465,0.572,-0.2514,0.8234,0.75,0.8533,-0.2991,0.3474
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,新聞點名,衝擊結束日(新聞),12m,8,8,0.0438,0.0496,0.4476,-0.2606,0.7083,0.625,0.8054,-0.2962,0.3402
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,同SIC全體,衝擊低點,3m,185,185,-0.0049,0.0205,0.2958,-0.1923,0.4881,0.4811,1.1042,-0.5266,0.1885
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,同SIC全體,衝擊低點,6m,185,185,-0.0499,-0.008,0.3462,-0.2633,0.6095,0.3892,2.2099,-0.7288,0.2779
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,同SIC全體,衝擊低點,12m,185,185,-0.084,-0.0569,0.415,-0.4322,0.8472,0.3135,3.0981,-0.7754,0.4156
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,同SIC全體,衝擊結束日(新聞),3m,185,185,0.0009,0.0343,0.3162,-0.1763,0.4924,0.5081,1.6862,-0.6005,0.2126
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,同SIC全體,衝擊結束日(新聞),6m,185,185,-0.0176,0.0214,0.4117,-0.263,0.6748,0.4541,3.24,-0.7584,0.3302
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,同SIC全體,衝擊結束日(新聞),12m,185,185,-0.0614,-0.0272,0.4707,-0.42,0.8908,0.3892,4.9814,-0.7752,0.4857
