規則,event_id,實挑家數,相對籃子中位,相對大市超額中位
a,E17,3,-0.0588,0.0198
b,E17,3,-0.0332,0.0454
c,E17,3,0.0248,0.1034
d,E17,3,-0.0453,0.0333
a,E18,2,0.0797,0.0602
b,E18,2,-0.0503,-0.0698
c,E18,2,-0.1637,-0.1832
d,E18,2,-0.1107,-0.1302
a,E19,3,0.0407,0.0312
b,E19,3,0.1247,0.1153
c,E19,3,-0.0032,-0.0126
d,E19,3,-0.0032,-0.0126
a,E20,1,0.1697,0.0952
b,E20,1,0.293,0.2185
c,E20,1,-0.3104,-0.3849
d,E20,1,0.1697,0.0952
