規則,參與事件數,空宗數,逐宗中位之四宗中位,逐宗相對大市中位之四宗中位,逐家合池相對籃子中位,逐家合池相對大市中位,逐家勝率,逐家數
a,4,0,0.0856,0.097,0.0066,0.0541,0.5556,9
b,4,0,0.067,0.1051,0.0674,0.1013,0.5556,9
c,4,0,0.0019,0.0134,-0.0029,0.0273,0.4444,9
d,4,0,-0.02,0.027,-0.0066,0.0266,0.4444,9
