_ix,high,low
MAX10x100,-0.383,1.878
MAX10x50,-1.074,0.328
MAX20x100,-1.08,1.478
MAX20x200,-0.439,-0.743
MAX20x50,-1.025,-0.665
MAX50x100,-1.672,1.187
MAX50x200,-0.065,-0.333
MAX5x20,-2.45,0.126
