_ix,high,low
RSI10,-1.831,-0.664
RSI14,-1.398,-2.46
RSI21,-1.9,-2.345
RSI30,-1.697,-1.726
RSI45,-1.788,-2.507
RSI5,-2.74,-0.998
RSI60,-1.739,-1.644
RSI7,-2.121,-1.42
